525500301155311; CANCIDAS; CANCIDAS; NOT FOUND; 50 MG PO LIOF SOL INJ CT FA VD INC; NO_ACR
510602009110310; CLAVULIN; CLAVULIN; NOT FOUND; 500 MG + 125 MG COM REV CT BL AL PLAS TRANS + ENV X 30 ; NO_ACR
510602005131313; CLAVULIN; CLAVULIN; NOT FOUND; 600 MG + 42.90 MG / 5 ML PO SUS OR CT FR VD TRANS X 50 ML + SER DOS; NO_ACR
510602006138311; CLAVULIN; CLAVULIN; NOT FOUND; 600 MG + 42.90 MG / 5 ML PO SUS OR CT FR VD TRANS X 100 ML + SER DOS; NO_ACR
505602305155415; CLAVICIN; CLAVICIN; NOT FOUND; 1000 MG + 200 MG PO SOL INJ CT 50 FR VD INC; NO_ACR
505602306151413; CLAVICIN; CLAVICIN; NOT FOUND; 500 MG + 100 MG PO SOL INJ CT 50 FR VC INC; NO_ACR
541312030002404; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC + 100 DIL X 5 ML; NO_ACR
541312030002804; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CT FA VD INC + AMP DIL PLAS X 5ML; NO_ACR
541312030002904; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC + 100 AMP DIL PLAS X 5 ML; NO_ACR
541312030002304; CILINON; CILINON; NOT FOUND; 500MG PO INJ CX 100 FA VD INC + 100 DIL X 5 ML; NO_ACR
541312030002704; CILINON; CILINON; NOT FOUND; 500MG PO INJ CX 100 FA VD INC + 100 AMP DIL PLAS X 5 ML; NO_ACR
501801802156412; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; NO_ACR
501801803152410; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC + DIL X 5 ML; NO_ACR
501801809150411; CILINON; CILINON; NOT FOUND; 1000MG PO INJ CX 100 FA VD INC + AMP DIL PLAS X 5ML; NO_ACR
501801806151415; CILINON; CILINON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; NO_ACR
501801807158413; CILINON; CILINON; NOT FOUND; 500MG PO INJ CX 100 FA VD INC + DIL X 5 ML; NO_ACR
501801810159417; CILINON; CILINON; NOT FOUND; 500MG PO INJ CX 100 FA VD INC + AMP DIL PLAS X 5ML; NO_ACR
502400601166110; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC DESC; NO_ACR
502401101167418; COLPIST MT; COLPIST MT; NOT FOUND; 62.5 MG/G + 25000 UI/G + 1.25 MG/G CREM VAG CT 10 APLIC PLAS DESC X 4 G + ENV AL POLIET; NO_ACR
502401102163416; COLPIST MT; COLPIST MT; NOT FOUND; 62.5 MG/G + 25000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC ; NO_ACR
502401103161417; COLPIST MT; COLPIST MT; NOT FOUND; 62.5 MG/G + 25000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 60 G + 1 APLIC ; NO_ACR
521104801111414; CORDAREX; CORDAREX; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 20; NO_ACR
521104805115317; CORDAREX; CORDAREX; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; NO_ACR
521104802116411; CORDAREX; CORDAREX; NOT FOUND; 2.5 MG COM CT BL AL PLAS AMB X 20; NO_ACR
521104806111315; CORDAREX; CORDAREX; NOT FOUND; 2.5 MG COM CT  BL AL PLAS AMB X 30; NO_ACR
521104808114311; CORDAREX; CORDAREX; NOT FOUND; 2.5 MG COM CT BL AL PLAS AMB X 7; NO_ACR
521104803112418; CORDAREX; CORDAREX; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 20; NO_ACR
521104807118410; CORDAREX; CORDAREX; NOT FOUND; 5 MG COM CT  BL AL PLAS AMB X 30; NO_ACR
521104809110417; CORDAREX; CORDAREX; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 7; NO_ACR
508600801176417; CPHD FARMARIN; CPHD FARMARIN; NOT FOUND; 0.084 G/ML SOL HEMO CX 4 FR PLAS TRANS X 5 L; NO_ACR
508600802172415; CPHD FARMARIN; CPHD FARMARIN; NOT FOUND; 0.084 G/ML SOL HEMO CX 04 FR PLAS TRANS X 6 L; NO_ACR
530300401179411; CPHD 35 BA; CPHD 35 BA; NOT FOUND; 8.4% SOL HD BAS BOMB PLAST X 5L; NO_ACR
530300101159413; CPHD SMP 35; CPHD SMP 35; NOT FOUND; 138 NA + 1.5 K + 3.5 CA + 1 MG MEQ/L SOL AC HD BOMB PLAS X 5 L + 84G/L SOL BASICA HD BOMB PLAS INC X 5L; NO_ACR
530300102171417; CPHD SMP 35; CPHD SMP 35; NOT FOUND; 138 NA + 1.5 K + 3.5 CA + 1 MG MEQ/L SOL AC HD BOMB PLAS X 6 L + 84G/L SOL BASICA HD BOMB PLAS INC X 6L; NO_ACR
507501002110411; CLOPIVIX; CLOPIVIX; NOT FOUND; 75MG COM REV CT BL AL/AL X 14; NO_ACR
507501003117411; CLOPIVIX; CLOPIVIX; NOT FOUND; 75MG COM REV CT BL AL/AL X 20; NO_ACR
507501004113418; CLOPIVIX; CLOPIVIX; NOT FOUND; 75MG COM REV CT BL AL/AL X 28; NO_ACR
507501007112412; CLOPIVIX; CLOPIVIX; NOT FOUND; 75 MG COM REV CT BL AL/AL X 30; NO_ACR
507501005111419; CLOPIVIX; CLOPIVIX; NOT FOUND; 75MG COM REV CT BL AL/AL X 60; NO_ACR
507501001114413; CLOPIVIX; CLOPIVIX; NOT FOUND; 75MG COM REV CT BL AL/AL X 07; NO_ACR
507501006116414; CLOPIVIX; CLOPIVIX; NOT FOUND; 75 MG COM REV CT BL AL/AL X 98; NO_ACR
522709303117415; CALTRATE; CALTRATE; NOT FOUND; 600 MG + 200 UI COM REV CT FR PLAS OPC X 30; NO_ACR
522709301114419; CALTRATE; CALTRATE; NOT FOUND; 600 MG + 200 UI COM REV CT FR PLAS OPC X 60; NO_ACR
540913040010914; CAFILISADOR; CAFILISADOR; NOT FOUND; 500 MG + 65 MG COM CT BL AL PLAS AMB X 100; NO_ACR
540913040011014; CAFILISADOR; CAFILISADOR; NOT FOUND; 500 MG + 65 MG COM CT BL AL PLAS AMB X 16; NO_ACR
511300601112412; CAPTIL; CAPTIL; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 15; NO_ACR
505201601111415; CAPTOPIRIL; CAPTOPIRIL; NOT FOUND; 12.5 MG COM CT BL AL PLAST INC X 15; NO_ACR
511300602119410; CAPTIL; CAPTIL; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
521103001111111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
511300603115419; CAPTIL; CAPTIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 15; NO_ACR
505201602116410; CAPTOPIRIL; CAPTOPIRIL; NOT FOUND; 25 MG COM CT BL AL PLAST INC X 16; NO_ACR
511300604111417; CAPTIL; CAPTIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; NO_ACR
521103002116115; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; NO_ACR
517000901111415; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CX 50 ENV AL POLIET X 10 (EMB. HOSP.); NO_ACR
511300605118415; CAPTIL; CAPTIL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 15; NO_ACR
505201603112419; CAPTOPIRIL; CAPTOPIRIL; NOT FOUND; 50 MG COM CT BL AL PLAST INC X 16; NO_ACR
511300606114413; CAPTIL; CAPTIL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; NO_ACR
521103003112113; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; NO_ACR
521103201119114; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 30; NO_ACR
521103301113118; CARBIDOPA/LEVODOPA; CARBIDOPA LEVODOPA; NOT FOUND; 25 MG + 250 MG COM CT BL AL PLAS INC X 30; NO_ACR
525500801115414; CRONOMET; CRONOMET; NOT FOUND; 50 MG+200 MG COM CT STR X 20; NO_ACR
505201801135423; CARBOFAN PEDIÁTRICO; CARBOFAN PEDIATRICO; NOT FOUND; FR 100 ML; NO_ACR
521122202133125; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD INC X 100 ML + CP MED; NO_ACR
505201701130421; CARBOFAN; CARBOFAN; NOT FOUND; FR 100 ML; NO_ACR
521122201137127; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD INC X 100 ML + CP MED; NO_ACR
522710704111411; CALTRATE 600 + D; CALTRATE 600 D; NOT FOUND; 600 MG + 200 UI COM REV CT FR PLAS OPC X 12; NO_ACR
522710901111414; CALTRATE 600 + M; CALTRATE 600 M; NOT FOUND; COM REV CT FR PLAS OPC X 12; NO_ACR
522710903114410; CALTRATE 600 + M; CALTRATE 600 M; NOT FOUND; COM REV CT FR PLAS OPC X 30; NO_ACR
522710902118412; CALTRATE 600 + M; CALTRATE 600 M; NOT FOUND; COM REV CT FR PLAS OPC X 60; NO_ACR
522710701112417; CALTRATE 600 + D; CALTRATE 600 D; NOT FOUND; 600 MG + 400 UI COM REV CT FR PLAS OPC X 12; NO_ACR
522710702119415; CALTRATE 600 + D; CALTRATE 600 D; NOT FOUND; 600 MG + 400 UI COM REV CT FR PLAS OPC X 30; NO_ACR
522710703115413; CALTRATE 600 + D; CALTRATE 600 D; NOT FOUND; 600 MG + 400 UI COM REV CT FR PLAS OPC X 60; NO_ACR
510014120014806; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 15; NO_ACR
510014120014906; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 30; NO_ACR
510014120015006; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 60; NO_ACR
510014120015106; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 80 EMB HOSP; NO_ACR
510014120015206; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 90 EMB FRAC; NO_ACR
510014120015306; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 15; NO_ACR
510014120015406; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 30; NO_ACR
510014120015506; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 60; NO_ACR
510014120015606; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 80 EMB HOSP; NO_ACR
510014120015706; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 90 EMB FRAC; NO_ACR
510014120015806; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 15; NO_ACR
510014120015906; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 30; NO_ACR
510014120016006; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 60; NO_ACR
510014120016106; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 80 EMB HOSP; NO_ACR
510014120016206; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 90 EMB FRAC; NO_ACR
510014120016306; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 15; NO_ACR
510014120016406; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 30; NO_ACR
510014120016506; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 60; NO_ACR
510014120016606; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 80 EMB HOSP; NO_ACR
510014120016706; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 90 EMB FRAC; NO_ACR
521120805116110; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM BL AL PLAS BCO X 15; NO_ACR
521120806112119; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL PLAS BCO X 30; NO_ACR
521120803113114; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM BL AL PLAS BCO X 15  ; NO_ACR
521120804111115; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM BL AL PLAS BCO X 30; NO_ACR
521120801110118; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM BL AL PLAS BCO X 15  ; NO_ACR
521120807119117; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL PLAS BCO X 30; NO_ACR
521120802117116; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM BL AL PLAS BCO X 15 ; NO_ACR
521120808115115; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL PLAS BCO X 30; NO_ACR
521123801138114; CEFADROXILA; CEFADROXILA; CEFADROXILA; 100 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + SER DOSAD; NO_ACR
521123802134112; CEFADROXILA; CEFADROXILA; CEFADROXILA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + SER DOSAD; NO_ACR
505601303116414; CELLEXINA; CELLEXINA; NOT FOUND; 500 MG CAP GEL DURA  CT BL AL PLAS X 10; NO_ACR
501801202116411; CEFAXON; CEFAXON; NOT FOUND; 500 MG CAP GEL DURA CX 25 BL AL PLAS INC X 4; NO_ACR
505601301113418; CELLEXINA; CELLEXINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS X 200; NO_ACR
501801203112418; CEFAXON; CEFAXON; NOT FOUND; 500 MG CAP GEL DURA CT  BL AL PLAS INC X 50; NO_ACR
505201902111414; CEFANAL; CEFANAL; NOT FOUND; 500 MG DRG CT BL AL PLAS INC X 8; NO_ACR
501801201111414; CEFAXON; CEFAXON; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; NO_ACR
501301801118116; CEFALEXINA; CEFALEXINA; CEFALEXINA; 1 G DRG CT BL AL PLAS INC X 14; NO_ACR
501301803110112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 1 G DRG CT BL AL PLAS INC X 40; NO_ACR
501301802114114; CEFALEXINA; CEFALEXINA; CEFALEXINA; 1 G DRG CT BL AL PLAS INC X 8; NO_ACR
501301810133114; CEFALEXINA; CEFALEXINA; CEFALEXINA; 100 MG/ML SUS OR CT FR VD AMB X 100 ML + COL DOSAD; NO_ACR
501301812136110; CEFALEXINA; CEFALEXINA; CEFALEXINA; 100 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED; NO_ACR
519508304132119; CEFALEXINA; CEFALEXINA; CEFALEXINA; 250 MG / 5 ML PO P PREP EXT CX 50 FR VD AMB X 60 ML (EMB HOSP); NO_ACR
519508307131113; CEFALEXINA; CEFALEXINA; CEFALEXINA; 250 MG / 5 ML PO P PREP EXT CX 50 FR PLAS OPC X 60 ML  (EMB HOSP); NO_ACR
501301805131117; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML SUS OR CT FR VD AMB X 100 ML + COL DOSAD; NO_ACR
501301813132119; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED; NO_ACR
501301806136112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML SUS OR CT FR VD AMB X 60 ML + COL DOSAD ; NO_ACR
501301814139117; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML SUS OR CT FR VD AMB X 60 ML + CP MED; NO_ACR
501301811113117; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG DRG CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
501301807116115; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG DRG CT BL AL PLAS INC X 28; NO_ACR
501301808112113; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG DRG CT BL AL PLAS INC X 40 ; NO_ACR
519508302113117; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
519508306135115; CEFALEXINA; CEFALEXINA; CEFALEXINA; 250 MG / 5 ML PO P PREP EXT CX 50 FR PLAS OPC X 100 ML (EMB HOSP); NO_ACR
501302101152115; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX  100 FA VD INC X 10ML + 100 DIL AMP PLAS X 10 ML (EMB HOSP); NO_ACR
501302102159113; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX  100 FA VD INC X 10ML (EMB HOSP) ; NO_ACR
501302103155111; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX  150 FA VD INC X 10ML (EMB HOSP) ; NO_ACR
501302104151111; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX  150 FA VD INC X 10ML + 150 DIL AMP PLAS X 10 ML (EMB HOSP); NO_ACR
501302105158118; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX  200 FA VD INC X 10ML (EMB HOSP) ; NO_ACR
501302106154116; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX  200 FA VD INC X 10ML + 200 DIL AMP PLAS X 10 ML (EMB HOSP); NO_ACR
501302107150114; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX  50 FA VD INC X 10ML (EMB HOSP) ; NO_ACR
501302108157112; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX  50 FA VD INC X 10ML + 50 DIL AMP PLAS X 10 ML (EMB HOSP); NO_ACR
501302109153110; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO SOL INJ IV CX 100 FA VD INC X 10ML + 100 BOLS PLAS SIST FECH X 100 ML (EMB HOSP); NO_ACR
541312100012806; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT 50 FA VD INC; NO_ACR
541312040011214; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL VD X 5 ML; NO_ACR
541312040011314; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; NO_ACR
541312040011414; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML; NO_ACR
541312040011514; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CT FA VD INC + AMP DIL VD X 5 ML; NO_ACR
541312040011704; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CT FA VD INC + AMP DIL PLAS X 5 ML; NO_ACR
541312100012206; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT  FA VD INC +  AMP DIL VD X 5 ML ; NO_ACR
541312100012306; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT 50 FA VD INC + 50 AMP DIL VD X 5 ML ; NO_ACR
541312100012406; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT 100 FA VD INC + 100 AMP DIL PLAS X 5 ML ; NO_ACR
541312100012506; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT 50 FA VD INC + 50 AMP DIL PLAS X 5 ML ; NO_ACR
541312100012606; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT 100 FA VD INC + 100 AMP DIL VD X 5 ML ; NO_ACR
541312100012706; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT  FA VD INC; NO_ACR
541312100012906; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT 100 FA VD INC; NO_ACR
541312100013006; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT  FA VD INC +  AMP DIL PLAS X 5 ML; NO_ACR
501801102154417; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CT 50 FA VD INC + DIL X 5 ML; NO_ACR
501801104157413; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 100 FA; NO_ACR
501801105153411; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML; NO_ACR
505601402157410; CELLOZINA; CELLOZINA; NOT FOUND; 1 G PO INJ CX 25  FA VD INC; NO_ACR
501302301151112; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CX 50 FA VD INC X 10 ML (EMB HOSP) ; NO_ACR
501302302158110; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CX 100 FA VD INC + 100 DIL AMP PLAS INC X 10 ML (EMB HOSP); NO_ACR
501302303154119; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CX 100 FA VD INC X 10 ML (EMB HOSP); NO_ACR
501302304150117; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CX 150 FA VD INC + 150 DIL AMP PLAS INC X 10 ML (EMB HOSP); NO_ACR
501302305157115; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CX 150 FA VD INC X 10 ML (EMB HOSP); NO_ACR
501302306153113; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CX 200 FA VD INC + 200 DIL AMP PLAS INC X 10 ML (EMB HOSP); NO_ACR
501302307151114; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP PLAS INC X 10 ML (EMB HOSP); NO_ACR
501302308156111; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CX 200 FA VD INC X 10 ML (EMB HOSP); NO_ACR
