508300601155417, CLORETO DE POTÁSSIO, CLORETO POTASSIO, CLORETO POTASSIO, AMPOLA PLASTICA 10 ML, FM_
508300713158418, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 50 FR PLAS TRANS PE SIST FECH X 250 ML, FM_
508300714154416, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 60 FR PLAS TRANS PE SIST FECH X 100 ML, FM_
508304212137119, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3MG/ML XPE CT FR PLAS AMB X 100ML + CP MED, FM_
508304209136115, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3MG/ML XPE CT FR PLAS AMB X 120ML + CP MED, FM_
508304210134112, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3MG/ML XPE CX 100 FR PLAS AMB X 100ML + 100 CP MED (EMB HOSP), FM_
508304208131111, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3MG/ML XPE CX 100 FR PLAS AMB X 120ML + 100 CP MED (EMB HOSP), FM_
508304211130110, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3MG/ML XPE CX 60 FR PLAS AMB X 100ML + 60 CP MED (EMB HOSP, FM_
508304202131118, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3MG/ML XPE CX 60 FR PLAS AMB X 120ML +60 CP MED (EMB HOSP), FM_
508304201135111, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6MG/ML XPE CT FR PLAS AMB X 100ML + CP MED, FM_
508304205130112, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6MG/ML XPE CT FR PLAS AMB X 120ML + CP MED, FM_
508304206137110, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6MG/ML XPE CX 100 FR PLAS AMB X 100ML + 100 CP MED (EMB HOSP), FM_
508304203138116, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6MG/ML XPE CX 100 FR PLAS AMB X 120ML + 100 CP MED (EMB HOSP), FM_
508304207133119, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6MG/ML XPE CX 60 FR PLAS AMB X 100ML + 60 CP MED (EMB HOSP), FM_
508304204134114, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6MG/ML XPE CX 60 FR PLAS AMB X 120 ML +60 CP MED (EMB HOSP), FM_
508302601152112, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 25 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMBA HOSP), FM_
508302602159110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 25 MG/ML SOL INJ CX 5 AMP VD AMB X 2 ML, FM_
508302603155119, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 25 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMBA HOSP), FM_
508302801151411, COMPLEXO B, COMPLEXO B, COMPLEXO PROTROMBINICO HUMANO LIOFILIZADO, 0.008 G+0.002 G+0.004 G+0.04 G+0.006 G 2 ML SOL INJ CX 100 AMP VD AMB X 2 ML, FM_
508302802158411, COMPLEXO B, COMPLEXO B, COMPLEXO PROTROMBINICO HUMANO LIOFILIZADO, 0.008 G+0.002 G+0.004 G+0.04 G+0.006 G 2 ML SOL INJ CX 50 AMP VD AMB X 2 ML, FM_
508300603158413, CLORETO DE POTÁSSIO, CLORETO POTASSIO, CLORETO POTASSIO, AMPOLA PLASTICA 10 ML, FM_
508300601155417, CLORETO DE POTÁSSIO, CLORETO POTASSIO, CLORETO POTASSIO, AMPOLA PLASTICA 10 ML, FM_
508300701151413, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 0.9% AMPOLA PLASTICA DE 10 ML, FM_
508300702156419, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 0.9% AMPOLA PLASTICA DE 20 ML, FM_
508300707158411, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 10% AMPOLA PLASTICA 10 ML, FM_
508300708154418, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 10% AMPOLA PLASTICA 20 ML, FM_
508300709150416, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 20% AMPOLA PLASTICA 10 ML, FM_
508300710159413, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 20% AMPOLA PLASTICA 20 ML, FM_
508300712151411, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML, FM_
508300711155411, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML, FM_
508300713158418, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 50 FR PLAS TRANS PE SIST FECH X 250 ML, FM_
508300714154416, CLORETO DE SÓDIO, CLORETO SODIO, CLORETO SODIO 22 NA, 9 MG/ML SOL INJ IV CX 60 FR PLAS TRANS PE SIST FECH X 100 ML, FM_
508304212137119, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3MG/ML XPE CT FR PLAS AMB X 100ML + CP MED, FM_
