500903301174113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, FRASCO C/ 5ML, ALC
500903702179310, TOBREX, TOBREX, NOT FOUND, SOLUCAO FRASCO C/ 5ML, ALC
500903801177316, TRAVATAN, TRAVATAN, NOT FOUND, FRASCO C/2.5ML, ALC
500903901171311, TRISORB, TRISORB, NOT FOUND, FRASCO C/ 15ML, ALC
500904401172110, TROMETAMINA DE CETOROLACO, TROMETAMINA CETOROLACO, NOT FOUND, 5 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 5 ML, ALC
500903301174113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, FRASCO C/ 5ML, ALC
500903401160319, TOBRADEX, TOBRADEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903402175311, TOBRADEX, TOBRADEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500903501173110, TOBRAMIC/DEXAMET., TOBRAMIC DEXAMET, NOT FOUND, FRASCO C/ 5ML, ALC
500903601178114, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, FRASCO C/ 5ML, ALC
500903701164311, TOBREX, TOBREX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903702179310, TOBREX, TOBREX, NOT FOUND, SOLUCAO FRASCO C/ 5ML, ALC
500903801177316, TRAVATAN, TRAVATAN, NOT FOUND, FRASCO C/2.5ML, ALC
500903901171311, TRISORB, TRISORB, NOT FOUND, FRASCO C/ 15ML, ALC
500904401172110, TROMETAMINA DE CETOROLACO, TROMETAMINA CETOROLACO, NOT FOUND, 5 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 5 ML, ALC
500903301174113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, FRASCO C/ 5ML, ALC
500903401160319, TOBRADEX, TOBRADEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903402175311, TOBRADEX, TOBRADEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500903501173110, TOBRAMIC/DEXAMET., TOBRAMIC DEXAMET, NOT FOUND, FRASCO C/ 5ML, ALC
500903601178114, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, FRASCO C/ 5ML, ALC
500903701164311, TOBREX, TOBREX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903702179310, TOBREX, TOBREX, NOT FOUND, SOLUCAO FRASCO C/ 5ML, ALC
500903801177316, TRAVATAN, TRAVATAN, NOT FOUND, FRASCO C/2.5ML, ALC
500903901171311, TRISORB, TRISORB, NOT FOUND, FRASCO C/ 15ML, ALC
500904401172110, TROMETAMINA DE CETOROLACO, TROMETAMINA CETOROLACO, NOT FOUND, 5 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 5 ML, ALC
500903301174113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, FRASCO C/ 5ML, ALC
500903401160319, TOBRADEX, TOBRADEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903402175311, TOBRADEX, TOBRADEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500903501173110, TOBRAMIC/DEXAMET., TOBRAMIC DEXAMET, NOT FOUND, FRASCO C/ 5ML, ALC
500903601178114, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, FRASCO C/ 5ML, ALC
500903701164311, TOBREX, TOBREX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903702179310, TOBREX, TOBREX, NOT FOUND, SOLUCAO FRASCO C/ 5ML, ALC
500903801177316, TRAVATAN, TRAVATAN, NOT FOUND, FRASCO C/2.5ML, ALC
500903901171311, TRISORB, TRISORB, NOT FOUND, FRASCO C/ 15ML, ALC
500904401172110, TROMETAMINA DE CETOROLACO, TROMETAMINA CETOROLACO, NOT FOUND, 5 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 5 ML, ALC
500903301174113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, FRASCO C/ 5ML, ALC
500903401160319, TOBRADEX, TOBRADEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903402175311, TOBRADEX, TOBRADEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500903501173110, TOBRAMIC/DEXAMET., TOBRAMIC DEXAMET, NOT FOUND, FRASCO C/ 5ML, ALC
500903601178114, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, FRASCO C/ 5ML, ALC
500903701164311, TOBREX, TOBREX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903702179310, TOBREX, TOBREX, NOT FOUND, SOLUCAO FRASCO C/ 5ML, ALC
500903801177316, TRAVATAN, TRAVATAN, NOT FOUND, FRASCO C/2.5ML, ALC
500903901171311, TRISORB, TRISORB, NOT FOUND, FRASCO C/ 15ML, ALC
500904401172110, TROMETAMINA DE CETOROLACO, TROMETAMINA CETOROLACO, NOT FOUND, 5 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 5 ML, ALC
500903301174113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, FRASCO C/ 5ML, ALC
500903401160319, TOBRADEX, TOBRADEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903402175311, TOBRADEX, TOBRADEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500903501173110, TOBRAMIC/DEXAMET., TOBRAMIC DEXAMET, NOT FOUND, FRASCO C/ 5ML, ALC
500903601178114, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, FRASCO C/ 5ML, ALC
500903701164311, TOBREX, TOBREX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903702179310, TOBREX, TOBREX, NOT FOUND, SOLUCAO FRASCO C/ 5ML, ALC
500903801177316, TRAVATAN, TRAVATAN, NOT FOUND, FRASCO C/2.5ML, ALC
500903901171311, TRISORB, TRISORB, NOT FOUND, FRASCO C/ 15ML, ALC
500904401172110, TROMETAMINA DE CETOROLACO, TROMETAMINA CETOROLACO, NOT FOUND, 5 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 5 ML, ALC
500903301174113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, FRASCO C/ 5ML, ALC
500903401160319, TOBRADEX, TOBRADEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903402175311, TOBRADEX, TOBRADEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500903501173110, TOBRAMIC/DEXAMET., TOBRAMIC DEXAMET, NOT FOUND, FRASCO C/ 5ML, ALC
500903601178114, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, FRASCO C/ 5ML, ALC
500903701164311, TOBREX, TOBREX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500903702179310, TOBREX, TOBREX, NOT FOUND, SOLUCAO FRASCO C/ 5ML, ALC
500903801177316, TRAVATAN, TRAVATAN, NOT FOUND, FRASCO C/2.5ML, ALC
500903901171311, TRISORB, TRISORB, NOT FOUND, FRASCO C/ 15ML, ALC
500904401172110, TROMETAMINA DE CETOROLACO, TROMETAMINA CETOROLACO, NOT FOUND, 5 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 5 ML, ALC
500903901171311, TRISORB, TRISORB, NOT FOUND, FRASCO C/ 15ML, ALC
500903301174113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, FRASCO C/ 5ML, ALC
500903701164311, TOBREX, TOBREX, NOT FOUND, 3 MG/G POM OFT CT BG AL X 3.5 G, ALC
500903702179310, TOBREX, TOBREX, NOT FOUND, 3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500903601178114, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, 3.0 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500903401160319, TOBRADEX, TOBRADEX, NOT FOUND, 3.0 MG/G + 1.0 MG/G POM OFT CT BG AL X 3.5 G, ALC
500903402175311, TOBRADEX, TOBRADEX, NOT FOUND, 3.0 MG/ML + 1.0 MG/ML SUS OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500903501173110, TOBRAMIC/DEXAMET., TOBRAMIC DEXAMET, NOT FOUND, FRASCO C/ 5ML, ALC
500903801177316, TRAVATAN, TRAVATAN, NOT FOUND, 0.04 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML, ALC
500903901171311, TRISORB, TRISORB, NOT FOUND, FRASCO C/ 15ML, ALC
500903301174113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, FRASCO C/ 5ML, ALC
500903701164311, TOBREX, TOBREX, NOT FOUND, 3 MG/G POM OFT CT BG AL X 3.5 G, ALC
500903702179310, TOBREX, TOBREX, NOT FOUND, 3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500903601178114, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, 3.0 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500903401160319, TOBRADEX, TOBRADEX, NOT FOUND, 3.0 MG/G + 1.0 MG/G POM OFT CT BG AL X 3.5 G, ALC
500903402175311, TOBRADEX, TOBRADEX, NOT FOUND, 3.0 MG/ML + 1.0 MG/ML SUS OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500903501173110, TOBRAMIC/DEXAMET., TOBRAMIC DEXAMET, NOT FOUND, FRASCO C/ 5ML, ALC
500903801177316, TRAVATAN, TRAVATAN, NOT FOUND, 0.04 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML, ALC
