500902301170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, FRASCO C/ 5ML, ALC
500902501161319, MAXIDEX, MAXIDEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902502176311, MAXIDEX, MAXIDEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500902601166312, MAXITROL, MAXITROL, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902602170313, MAXITROL, MAXITROL, NOT FOUND, FRASCO C/ 5ML, ALC
500902701179319, MINIDEX, MINIDEX, NOT FOUND, FRASCO C/ 5ML, ALC
500902901178316, MYDRIACYL, MYDRIACYL, NOT FOUND, FRASCO C/ 5ML, ALC
500902301170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, FRASCO C/ 5ML, ALC
500902401175415, MAXICROM, MAXICROM, NOT FOUND, 20 MG/ML SOL OFT FR PLAS TRANS GOT X 5 ML, ALC
500902402171413, MAXICROM, MAXICROM, NOT FOUND, 40 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500902501161319, MAXIDEX, MAXIDEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902502176311, MAXIDEX, MAXIDEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500902601166312, MAXITROL, MAXITROL, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902602170313, MAXITROL, MAXITROL, NOT FOUND, FRASCO C/ 5ML, ALC
500902701179319, MINIDEX, MINIDEX, NOT FOUND, FRASCO C/ 5ML, ALC
500902901178316, MYDRIACYL, MYDRIACYL, NOT FOUND, FRASCO C/ 5ML, ALC
500902301170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, FRASCO C/ 5ML, ALC
500902401175415, MAXICROM, MAXICROM, NOT FOUND, 20 MG/ML SOL OFT FR PLAS TRANS GOT X 5 ML, ALC
500902402171413, MAXICROM, MAXICROM, NOT FOUND, 40 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500902501161319, MAXIDEX, MAXIDEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902502176311, MAXIDEX, MAXIDEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500902601166312, MAXITROL, MAXITROL, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902602170313, MAXITROL, MAXITROL, NOT FOUND, FRASCO C/ 5ML, ALC
500902701179319, MINIDEX, MINIDEX, NOT FOUND, FRASCO C/ 5ML, ALC
500902901178316, MYDRIACYL, MYDRIACYL, NOT FOUND, FRASCO C/ 5ML, ALC
500902301170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, FRASCO C/ 5ML, ALC
500902401175415, MAXICROM, MAXICROM, NOT FOUND, 20 MG/ML SOL OFT FR PLAS TRANS GOT X 5 ML, ALC
500902402171413, MAXICROM, MAXICROM, NOT FOUND, 40 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500902501161319, MAXIDEX, MAXIDEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902502176311, MAXIDEX, MAXIDEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500902601166312, MAXITROL, MAXITROL, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902602170313, MAXITROL, MAXITROL, NOT FOUND, FRASCO C/ 5ML, ALC
500902701179319, MINIDEX, MINIDEX, NOT FOUND, FRASCO C/ 5ML, ALC
500902901178316, MYDRIACYL, MYDRIACYL, NOT FOUND, FRASCO C/ 5ML, ALC
500902301170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, FRASCO C/ 5ML, ALC
500902401175415, MAXICROM, MAXICROM, NOT FOUND, 20 MG/ML SOL OFT FR PLAS TRANS GOT X 5 ML, ALC
500902402171413, MAXICROM, MAXICROM, NOT FOUND, 40 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500902501161319, MAXIDEX, MAXIDEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902502176311, MAXIDEX, MAXIDEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500902601166312, MAXITROL, MAXITROL, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902602170313, MAXITROL, MAXITROL, NOT FOUND, FRASCO C/ 5ML, ALC
500902701179319, MINIDEX, MINIDEX, NOT FOUND, FRASCO C/ 5ML, ALC
500902901178316, MYDRIACYL, MYDRIACYL, NOT FOUND, FRASCO C/ 5ML, ALC
500902401175415, MAXICROM, MAXICROM, NOT FOUND, 20 MG/ML SOL OFT FR PLAS TRANS GOT X 5 ML, ALC
500902402171413, MAXICROM, MAXICROM, NOT FOUND, 40 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500902501161319, MAXIDEX, MAXIDEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902502176311, MAXIDEX, MAXIDEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500902301170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, ALC
500902601166312, MAXITROL, MAXITROL, NOT FOUND, 1.0 MG/G + 5.0 MG/G + 6.000 UI/G POM OFT CT BG AL X 3.5 G, ALC
500902602170313, MAXITROL, MAXITROL, NOT FOUND, FRASCO C/ 5ML, ALC
500902901178316, MYDRIACYL, MYDRIACYL, NOT FOUND, 10 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500902401175415, MAXICROM, MAXICROM, NOT FOUND, 20 MG/ML SOL OFT FR PLAS TRANS GOT X 5 ML, ALC
500902402171413, MAXICROM, MAXICROM, NOT FOUND, 40 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
500902501161319, MAXIDEX, MAXIDEX, NOT FOUND, BISNAGA C/ 3.5G, ALC
500902502176311, MAXIDEX, MAXIDEX, NOT FOUND, SUSPENSAO FRASCO C/ 5ML, ALC
500902301170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, ALC
500902601166312, MAXITROL, MAXITROL, NOT FOUND, 1.0 MG/G + 5.0 MG/G + 6.000 UI/G POM OFT CT BG AL X 3.5 G, ALC
500902602170313, MAXITROL, MAXITROL, NOT FOUND, FRASCO C/ 5ML, ALC
500902901178316, MYDRIACYL, MYDRIACYL, NOT FOUND, 10 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, ALC
