500201301158311, CALCIJEX, CALCIJEX, NOT FOUND, 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML, ABT
500201401111112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT 2 BL AL PLAS INC X 10, ABT
500201402116118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 400 MG COM CT 2 BL AL PLAS INC X 10, ABT
500202201114116, CLORIDRATO DE BIPERIDENO, CLORIDRATO BIPERIDENO, CLORIDRATO BIPERIDENO, 2 MG COM CT 4 BL AL PLAS AMB X 20, ABT
500209301114115, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500209302110113, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500201901112118, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20, ABT
500201902119116, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 240 MG COM REV RETARD CT BL AL PLAS AMB X 30, ABT
500201903115114, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, ABT
500201301158311, CALCIJEX, CALCIJEX, NOT FOUND, 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML, ABT
500201401111112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT 2 BL AL PLAS INC X 10, ABT
500201402116118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 400 MG COM CT 2 BL AL PLAS INC X 10, ABT
500202201114116, CLORIDRATO DE BIPERIDENO, CLORIDRATO BIPERIDENO, CLORIDRATO BIPERIDENO, 2 MG COM CT 4 BL AL PLAS AMB X 20, ABT
500209301114115, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500209302110113, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500201901112118, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20, ABT
500201902119116, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 240 MG COM REV RETARD CT BL AL PLAS AMB X 30, ABT
500201903115114, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, ABT
500201301158311, CALCIJEX, CALCIJEX, NOT FOUND, 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML, ABT
500201401111112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT 2 BL AL PLAS INC X 10, ABT
500201402116118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 400 MG COM CT 2 BL AL PLAS INC X 10, ABT
500202201114116, CLORIDRATO DE BIPERIDENO, CLORIDRATO BIPERIDENO, CLORIDRATO BIPERIDENO, 2 MG COM CT 4 BL AL PLAS AMB X 20, ABT
500209301114115, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500209302110113, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500201901112118, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20, ABT
500201902119116, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 240 MG COM REV RETARD CT BL AL PLAS AMB X 30, ABT
500201903115114, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, ABT
500201301158311, CALCIJEX, CALCIJEX, NOT FOUND, 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML, ABT
500201401111112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT 2 BL AL PLAS INC X 10, ABT
500201402116118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 400 MG COM CT 2 BL AL PLAS INC X 10, ABT
500202201114116, CLORIDRATO DE BIPERIDENO, CLORIDRATO BIPERIDENO, CLORIDRATO BIPERIDENO, 2 MG COM CT 4 BL AL PLAS AMB X 20, ABT
500209301114115, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500209302110113, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500201901112118, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20, ABT
500201902119116, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 240 MG COM REV RETARD CT BL AL PLAS AMB X 30, ABT
500201903115114, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, ABT
500201301158311, CALCIJEX, CALCIJEX, NOT FOUND, 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML, ABT
500201401111112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT 2 BL AL PLAS INC X 10, ABT
500201402116118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 400 MG COM CT 2 BL AL PLAS INC X 10, ABT
500202201114116, CLORIDRATO DE BIPERIDENO, CLORIDRATO BIPERIDENO, CLORIDRATO BIPERIDENO, 2 MG COM CT 4 BL AL PLAS AMB X 20, ABT
500209301114115, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500209302110113, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500201901112118, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20, ABT
500201902119116, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 240 MG COM REV RETARD CT BL AL PLAS AMB X 30, ABT
500201903115114, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, ABT
500201301158311, CALCIJEX, CALCIJEX, NOT FOUND, 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML, ABT
500201401111112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT 2 BL AL PLAS INC X 10, ABT
500201402116118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 400 MG COM CT 2 BL AL PLAS INC X 10, ABT
500202201114116, CLORIDRATO DE BIPERIDENO, CLORIDRATO BIPERIDENO, CLORIDRATO BIPERIDENO, 2 MG COM CT 4 BL AL PLAS AMB X 20, ABT
500209301114115, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500209302110113, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500201901112118, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20, ABT
500201902119116, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 240 MG COM REV RETARD CT BL AL PLAS AMB X 30, ABT
500201903115114, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, ABT
500201301158311, CALCIJEX, CALCIJEX, NOT FOUND, 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML, ABT
500201401111112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT 2 BL AL PLAS INC X 10, ABT
500201402116118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 400 MG COM CT 2 BL AL PLAS INC X 10, ABT
500202201114116, CLORIDRATO DE BIPERIDENO, CLORIDRATO BIPERIDENO, CLORIDRATO BIPERIDENO, 2 MG COM CT 4 BL AL PLAS AMB X 20, ABT
500209301114115, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500209302110113, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500201901112118, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20, ABT
500201902119116, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 240 MG COM REV RETARD CT BL AL PLAS AMB X 30, ABT
500201903115114, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, ABT
500201301158311, CALCIJEX, CALCIJEX, NOT FOUND, 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML, ABT
500201401111112, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT 2 BL AL PLAS INC X 10, ABT
500201402116118, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 400 MG COM CT 2 BL AL PLAS INC X 10, ABT
500202201114116, CLORIDRATO DE BIPERIDENO, CLORIDRATO BIPERIDENO, CLORIDRATO BIPERIDENO, 2 MG COM CT 4 BL AL PLAS AMB X 20, ABT
500209301114115, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500209302110113, CLORIDRATO DE SIBUTRAMINA, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, ABT
500201901112118, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20, ABT
500201902119116, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 240 MG COM REV RETARD CT BL AL PLAS AMB X 30, ABT
500201903115114, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, ABT
