510404904113419, SALIPIRIN, SALIPIRIN, NOT FOUND, 100 MG COM CT 50 STRIP X 10 (EMB HOSP), GOB
510402504118417, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10, GOB
510402512110411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402508113411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, GOB
510402513117118, SINVAX, SINVAX, NOT FOUND, 5.0 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402514113418, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402509111410, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, GOB
510402602111417, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT 25 BL AL PLAS INC X 20, GOB
510402601113416, SODIX, SODIX, NOT FOUND, 50 MG COMP. CT 01 BL X 20, GOB
510411301178414, SONARIN, SONARIN, NOT FOUND, 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML, GOB
510411801170412, SONARIN INFANTIL, SONARIN INFANTIL, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS AMB X 20 ML + CGT, GOB
510408001134111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120ML + CP MED, GOB
510408002130118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 60 FR VD AMB X 120ML + CP MED (EMB HOSP), GOB
510404904113419, SALIPIRIN, SALIPIRIN, NOT FOUND, 100 MG COM CT 50 STRIP X 10 (EMB HOSP), GOB
510404903117410, SALIPIRIN, SALIPIRIN, NOT FOUND, 500MG COM CT 20 STRIP X 10, GOB
510402510118415, SINVAX, SINVAX, NOT FOUND, 10 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402511114413, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402504118417, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10, GOB
510402512110411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402508113411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, GOB
510402513117118, SINVAX, SINVAX, NOT FOUND, 5.0 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402514113418, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402509111410, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, GOB
510402602111417, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT 25 BL AL PLAS INC X 20, GOB
510402601113416, SODIX, SODIX, NOT FOUND, 50 MG COMP. CT 01 BL X 20, GOB
510411301178414, SONARIN, SONARIN, NOT FOUND, 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML, GOB
510411801170412, SONARIN INFANTIL, SONARIN INFANTIL, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS AMB X 20 ML + CGT, GOB
510408001134111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120ML + CP MED, GOB
510408002130118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 60 FR VD AMB X 120ML + CP MED (EMB HOSP), GOB
510404904113419, SALIPIRIN, SALIPIRIN, NOT FOUND, 100 MG COM CT 50 STRIP X 10 (EMB HOSP), GOB
510404903117410, SALIPIRIN, SALIPIRIN, NOT FOUND, 500MG COM CT 20 STRIP X 10, GOB
510402510118415, SINVAX, SINVAX, NOT FOUND, 10 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402511114413, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402504118417, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10, GOB
510402512110411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402508113411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, GOB
510402513117118, SINVAX, SINVAX, NOT FOUND, 5.0 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402514113418, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402509111410, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, GOB
510402602111417, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT 25 BL AL PLAS INC X 20, GOB
510402601113416, SODIX, SODIX, NOT FOUND, 50 MG COMP. CT 01 BL X 20, GOB
510411301178414, SONARIN, SONARIN, NOT FOUND, 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML, GOB
510411801170412, SONARIN INFANTIL, SONARIN INFANTIL, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS AMB X 20 ML + CGT, GOB
510408001134111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120ML + CP MED, GOB
510408002130118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 60 FR VD AMB X 120ML + CP MED (EMB HOSP), GOB
510404904113419, SALIPIRIN, SALIPIRIN, NOT FOUND, 100 MG COM CT 50 STRIP X 10 (EMB HOSP), GOB
510404903117410, SALIPIRIN, SALIPIRIN, NOT FOUND, 500MG COM CT 20 STRIP X 10, GOB
510402510118415, SINVAX, SINVAX, NOT FOUND, 10 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402511114413, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402504118417, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10, GOB
510402512110411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402508113411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, GOB
510402513117118, SINVAX, SINVAX, NOT FOUND, 5.0 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402514113418, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402509111410, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, GOB
510402602111417, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT 25 BL AL PLAS INC X 20, GOB
510402601113416, SODIX, SODIX, NOT FOUND, 50 MG COMP. CT 01 BL X 20, GOB
510411301178414, SONARIN, SONARIN, NOT FOUND, 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML, GOB
510411801170412, SONARIN INFANTIL, SONARIN INFANTIL, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS AMB X 20 ML + CGT, GOB
510408001134111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120ML + CP MED, GOB
510408002130118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 60 FR VD AMB X 120ML + CP MED (EMB HOSP), GOB
510404904113419, SALIPIRIN, SALIPIRIN, NOT FOUND, 100 MG COM CT 50 STRIP X 10 (EMB HOSP), GOB
510404903117410, SALIPIRIN, SALIPIRIN, NOT FOUND, 500MG COM CT 20 STRIP X 10, GOB
510402510118415, SINVAX, SINVAX, NOT FOUND, 10 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402511114413, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402504118417, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10, GOB
510402512110411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402508113411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, GOB
510402513117118, SINVAX, SINVAX, NOT FOUND, 5.0 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402514113418, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402509111410, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, GOB
510402602111417, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT 25 BL AL PLAS INC X 20, GOB
510402601113416, SODIX, SODIX, NOT FOUND, 50 MG COMP. CT 01 BL X 20, GOB
510411301178414, SONARIN, SONARIN, NOT FOUND, 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML, GOB
510411801170412, SONARIN INFANTIL, SONARIN INFANTIL, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS AMB X 20 ML + CGT, GOB
510408001134111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120ML + CP MED, GOB
510408002130118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 60 FR VD AMB X 120ML + CP MED (EMB HOSP), GOB
510404904113419, SALIPIRIN, SALIPIRIN, NOT FOUND, 100 MG COM CT 50 STRIP X 10 (EMB HOSP), GOB
510404903117410, SALIPIRIN, SALIPIRIN, NOT FOUND, 500MG COM CT 20 STRIP X 10, GOB
510402510118415, SINVAX, SINVAX, NOT FOUND, 10 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402511114413, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402504118417, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10, GOB
510402512110411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402508113411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, GOB
510402513117118, SINVAX, SINVAX, NOT FOUND, 5.0 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402514113418, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402509111410, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, GOB
510402602111417, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT 25 BL AL PLAS INC X 20, GOB
510402601113416, SODIX, SODIX, NOT FOUND, 50 MG COMP. CT 01 BL X 20, GOB
510411301178414, SONARIN, SONARIN, NOT FOUND, 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML, GOB
510411801170412, SONARIN INFANTIL, SONARIN INFANTIL, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS AMB X 20 ML + CGT, GOB
510408001134111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120ML + CP MED, GOB
510408002130118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 60 FR VD AMB X 120ML + CP MED (EMB HOSP), GOB
510404904113419, SALIPIRIN, SALIPIRIN, NOT FOUND, 100 MG COM CT 50 STRIP X 10 (EMB HOSP), GOB
510404903117410, SALIPIRIN, SALIPIRIN, NOT FOUND, 500MG COM CT 20 STRIP X 10, GOB
510402510118415, SINVAX, SINVAX, NOT FOUND, 10 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402511114413, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402504118417, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10, GOB
510402512110411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402508113411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, GOB
510402513117118, SINVAX, SINVAX, NOT FOUND, 5.0 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402514113418, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402509111410, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, GOB
510402602111417, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT 25 BL AL PLAS INC X 20, GOB
510402601113416, SODIX, SODIX, NOT FOUND, 50 MG COMP. CT 01 BL X 20, GOB
510411301178414, SONARIN, SONARIN, NOT FOUND, 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML, GOB
510411801170412, SONARIN INFANTIL, SONARIN INFANTIL, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS AMB X 20 ML + CGT, GOB
510408001134111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120ML + CP MED, GOB
510408002130118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 60 FR VD AMB X 120ML + CP MED (EMB HOSP), GOB
510404904113419, SALIPIRIN, SALIPIRIN, NOT FOUND, 100 MG COM CT 50 STRIP X 10 (EMB HOSP), GOB
510404903117410, SALIPIRIN, SALIPIRIN, NOT FOUND, 500MG COM CT 20 STRIP X 10, GOB
510402510118415, SINVAX, SINVAX, NOT FOUND, 10 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402511114413, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402504118417, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10, GOB
510402512110411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402508113411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, GOB
510402513117118, SINVAX, SINVAX, NOT FOUND, 5.0 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402514113418, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402509111410, SINVAX, SINVAX, NOT FOUND, 80 MG COM REV CT BL AL PLAS INC X 30, GOB
510402602111417, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT 25 BL AL PLAS INC X 20, GOB
510402601113416, SODIX, SODIX, NOT FOUND, 50 MG COMP. CT 01 BL X 20, GOB
510411301178414, SONARIN, SONARIN, NOT FOUND, 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML, GOB
510411801170412, SONARIN INFANTIL, SONARIN INFANTIL, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS AMB X 20 ML + CGT, GOB
510408001134111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120ML + CP MED, GOB
510408002130118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 60 FR VD AMB X 120ML + CP MED (EMB HOSP), GOB
510411301178414, SONARIN, SONARIN, NOT FOUND, 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML, GOB
510402601113416, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20  , GOB
510402602111417, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 500  (EMB HOSP), GOB
510402510118415, SINVAX, SINVAX, NOT FOUND, 10 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402511114413, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402504118417, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10, GOB
510402508113411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, GOB
510408001134111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120ML + CP MED, GOB
510408002130118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 60 FR VD AMB X 120ML + CP MED (EMB HOSP), GOB
510411302174412, SONARIN, SONARIN, NOT FOUND, 9 MG/ML SOL NAS CT FR PLAS AMB X 30 ML + CGT, GOB
510411301178414, SONARIN, SONARIN, NOT FOUND, 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML, GOB
510402601113416, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20  , GOB
510402602111417, SODIX, SODIX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 500  (EMB HOSP), GOB
510402510118415, SINVAX, SINVAX, NOT FOUND, 10 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402511114413, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 25 BL AL PLAS INC X 10 (EMB HOSP), GOB
510402504118417, SINVAX, SINVAX, NOT FOUND, 20 MG COM REV CT 3 BL AL PLAS INC X 10, GOB
510402508113411, SINVAX, SINVAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, GOB
510408001134111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120ML + CP MED, GOB
510408002130118, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 60 FR VD AMB X 120ML + CP MED (EMB HOSP), GOB
