534200301132417, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G - PO ORAL 15 SACHES X 3.95 G, ZD1
534200401153416, DOXOLEM, DOXOLEM, NOT FOUND, 10 MG - PO LIOFILO VD INC + DILUENTE CX. 1 FR AMP, ZD1
534200402151417, DOXOLEM, DOXOLEM, NOT FOUND, 50 MG - PO LIOFILO VD INC + CX. 1 FR AMP, ZD1
534204101154411, DOXOPEG, DOXOPEG, NOT FOUND, 2MG/ML SUSP INJ CT FA VD INC X 10ML, ZD1
534200301132417, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G - PO ORAL 15 SACHES X 3.95 G, ZD1
534200303135316, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G PO OR CT 30 SACH X 3.95 G , ZD1
534200302112312, DINAFLEX, DINAFLEX, NOT FOUND, 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10, ZD1
534200401153416, DOXOLEM, DOXOLEM, NOT FOUND, 10 MG - PO LIOFILO VD INC + DILUENTE CX. 1 FR AMP, ZD1
534200402151417, DOXOLEM, DOXOLEM, NOT FOUND, 50 MG - PO LIOFILO VD INC + CX. 1 FR AMP, ZD1
534204101154411, DOXOPEG, DOXOPEG, NOT FOUND, 2MG/ML SUSP INJ CT FA VD INC X 10ML, ZD1
534200301132417, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G - PO ORAL 15 SACHES X 3.95 G, ZD1
534200303135316, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G PO OR CT 30 SACH X 3.95 G , ZD1
534200302112312, DINAFLEX, DINAFLEX, NOT FOUND, 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10, ZD1
534200401153416, DOXOLEM, DOXOLEM, NOT FOUND, 10 MG - PO LIOFILO VD INC + DILUENTE CX. 1 FR AMP, ZD1
534200402151417, DOXOLEM, DOXOLEM, NOT FOUND, 50 MG - PO LIOFILO VD INC + CX. 1 FR AMP, ZD1
534204101154411, DOXOPEG, DOXOPEG, NOT FOUND, 2MG/ML SUSP INJ CT FA VD INC X 10ML, ZD1
534200301132417, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G - PO ORAL 15 SACHES X 3.95 G, ZD1
534200303135316, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G PO OR CT 30 SACH X 3.95 G , ZD1
534200302112312, DINAFLEX, DINAFLEX, NOT FOUND, 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10, ZD1
534200401153416, DOXOLEM, DOXOLEM, NOT FOUND, 10 MG - PO LIOFILO VD INC + DILUENTE CX. 1 FR AMP, ZD1
534200402151417, DOXOLEM, DOXOLEM, NOT FOUND, 50 MG - PO LIOFILO VD INC + CX. 1 FR AMP, ZD1
534204101154411, DOXOPEG, DOXOPEG, NOT FOUND, 2MG/ML SUSP INJ CT FA VD INC X 10ML, ZD1
534200301132417, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G - PO ORAL 15 SACHES X 3.95 G, ZD1
534200303135316, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G PO OR CT 30 SACH X 3.95 G , ZD1
534200302112312, DINAFLEX, DINAFLEX, NOT FOUND, 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10, ZD1
534200401153416, DOXOLEM, DOXOLEM, NOT FOUND, 10 MG - PO LIOFILO VD INC + DILUENTE CX. 1 FR AMP, ZD1
534200402151417, DOXOLEM, DOXOLEM, NOT FOUND, 50 MG - PO LIOFILO VD INC + CX. 1 FR AMP, ZD1
534204101154411, DOXOPEG, DOXOPEG, NOT FOUND, 2MG/ML SUSP INJ CT FA VD INC X 10ML, ZD1
534200301132417, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G - PO ORAL 15 SACHES X 3.95 G, ZD1
534200303135316, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G PO OR CT 30 SACH X 3.95 G , ZD1
534200302112312, DINAFLEX, DINAFLEX, NOT FOUND, 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10, ZD1
534200401153416, DOXOLEM, DOXOLEM, NOT FOUND, 10 MG - PO LIOFILO VD INC + DILUENTE CX. 1 FR AMP, ZD1
534200402151417, DOXOLEM, DOXOLEM, NOT FOUND, 50 MG - PO LIOFILO VD INC + CX. 1 FR AMP, ZD1
534204101154411, DOXOPEG, DOXOPEG, NOT FOUND, 2MG/ML SUSP INJ CT FA VD INC X 10ML, ZD1
534200401153416, DOXOLEM, DOXOLEM, NOT FOUND, 2 MG/ML PO LIOF INJ CT FA VD INC + DIL X 5 ML (REST HOSP), ZD1
534200402151417, DOXOLEM, DOXOLEM, NOT FOUND, 50 MG PO LIOF INJ CT FA VD INC (REST HOSP), ZD1
534204101154411, DOXOPEG, DOXOPEG, NOT FOUND, 2MG/ML SUSP INJ CT FA VD INC X 10ML, ZD1
534200301132417, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G - PO ORAL 15 SACHES X 3.95 G, ZD1
534200303135316, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G PO OR CT 30 SACH X 3.95 G , ZD1
534200401153416, DOXOLEM, DOXOLEM, NOT FOUND, 2 MG/ML PO LIOF INJ CT FA VD INC + DIL X 5 ML (REST HOSP), ZD1
534200402151417, DOXOLEM, DOXOLEM, NOT FOUND, 50 MG PO LIOF INJ CT FA VD INC (REST HOSP), ZD1
534204101154411, DOXOPEG, DOXOPEG, NOT FOUND, 2MG/ML SUSP INJ CT FA VD INC X 10ML, ZD1
534200301132417, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G - PO ORAL 15 SACHES X 3.95 G, ZD1
534200303135316, DINAFLEX, DINAFLEX, NOT FOUND, 1.5 G PO OR CT 30 SACH X 3.95 G , ZD1
