534204401158410, PAMIGEN, PAMIGEN, NOT FOUND, 1 G PO LIOF INJ CT FA VD TRANS X 50 ML, ZD1
534204401158410, PAMIGEN, PAMIGEN, NOT FOUND, 1 G PO LIOF INJ CT FA VD TRANS X 50 ML, ZD1
534204402154419, PAMIGEN, PAMIGEN, NOT FOUND, 200 MG PO LIOF INJ CT FA VD TRANS X 10 ML, ZD1
534204001117415, PARATRAM, PARATRAM, NOT FOUND, 37.5 MG + 325.0 MG COM CT BL AL PLAS INC X 10, ZD1
534201201158412, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML (REST HOSP), ZD1
534201202154410, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML (REST HOSP), ZD1
534201203150419, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 5 ML (REST HOSP), ZD1
534201204157417, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML (REST HOSP), ZD1
534201301152416, PROLEUKIN, PROLEUKIN, NOT FOUND, 18.000.000 UI - PO LIOFILO INJ CX 1 FR-AMP, ZD1
534203703118316, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 12, ZD1
534203701115311, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 25, ZD1
534203702111318, PYRIDIUM, PYRIDIUM, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 18, ZD1
534204401158410, PAMIGEN, PAMIGEN, NOT FOUND, 1 G PO LIOF INJ CT FA VD TRANS X 50 ML, ZD1
534204402154419, PAMIGEN, PAMIGEN, NOT FOUND, 200 MG PO LIOF INJ CT FA VD TRANS X 10 ML, ZD1
534204001117415, PARATRAM, PARATRAM, NOT FOUND, 37.5 MG + 325.0 MG COM CT BL AL PLAS INC X 10, ZD1
534201201158412, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML (REST HOSP), ZD1
534201202154410, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML (REST HOSP), ZD1
534201203150419, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 5 ML (REST HOSP), ZD1
534201204157417, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML (REST HOSP), ZD1
534201301152416, PROLEUKIN, PROLEUKIN, NOT FOUND, 18.000.000 UI - PO LIOFILO INJ CX 1 FR-AMP, ZD1
534203703118316, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 12, ZD1
534203701115311, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 25, ZD1
534203702111318, PYRIDIUM, PYRIDIUM, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 18, ZD1
534204401158410, PAMIGEN, PAMIGEN, NOT FOUND, 1 G PO LIOF INJ CT FA VD TRANS X 50 ML, ZD1
534204402154419, PAMIGEN, PAMIGEN, NOT FOUND, 200 MG PO LIOF INJ CT FA VD TRANS X 10 ML, ZD1
534204001117415, PARATRAM, PARATRAM, NOT FOUND, 37.5 MG + 325.0 MG COM CT BL AL PLAS INC X 10, ZD1
534201201158412, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML (REST HOSP), ZD1
534201202154410, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML (REST HOSP), ZD1
534201203150419, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 5 ML (REST HOSP), ZD1
534201204157417, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML (REST HOSP), ZD1
534201301152416, PROLEUKIN, PROLEUKIN, NOT FOUND, 18.000.000 UI - PO LIOFILO INJ CX 1 FR-AMP, ZD1
534203703118316, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 12, ZD1
534203701115311, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 25, ZD1
534203702111318, PYRIDIUM, PYRIDIUM, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 18, ZD1
534204401158410, PAMIGEN, PAMIGEN, NOT FOUND, 1 G PO LIOF INJ CT FA VD TRANS X 50 ML, ZD1
534204402154419, PAMIGEN, PAMIGEN, NOT FOUND, 200 MG PO LIOF INJ CT FA VD TRANS X 10 ML, ZD1
534204001117415, PARATRAM, PARATRAM, NOT FOUND, 37.5 MG + 325.0 MG COM CT BL AL PLAS INC X 10, ZD1
534201201158412, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML (REST HOSP), ZD1
534201202154410, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML (REST HOSP), ZD1
534201203150419, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 5 ML (REST HOSP), ZD1
534201204157417, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML (REST HOSP), ZD1
534201301152416, PROLEUKIN, PROLEUKIN, NOT FOUND, 18.000.000 UI - PO LIOFILO INJ CX 1 FR-AMP, ZD1
534203703118316, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 12, ZD1
534203701115311, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 25, ZD1
534203702111318, PYRIDIUM, PYRIDIUM, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 18, ZD1
534204401158410, PAMIGEN, PAMIGEN, NOT FOUND, 1 G PO LIOF INJ CT FA VD TRANS X 50 ML, ZD1
534204402154419, PAMIGEN, PAMIGEN, NOT FOUND, 200 MG PO LIOF INJ CT FA VD TRANS X 10 ML, ZD1
534204001117415, PARATRAM, PARATRAM, NOT FOUND, 37.5 MG + 325.0 MG COM CT BL AL PLAS INC X 10, ZD1
534201201158412, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML (REST HOSP), ZD1
534201202154410, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML (REST HOSP), ZD1
534201203150419, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 5 ML (REST HOSP), ZD1
534201204157417, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML (REST HOSP), ZD1
534201301152416, PROLEUKIN, PROLEUKIN, NOT FOUND, 18.000.000 UI - PO LIOFILO INJ CX 1 FR-AMP, ZD1
534203703118316, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 12, ZD1
534203701115311, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 25, ZD1
534203702111318, PYRIDIUM, PYRIDIUM, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 18, ZD1
534204401158410, PAMIGEN, PAMIGEN, NOT FOUND, 1 G PO LIOF INJ CT FA VD TRANS X 50 ML, ZD1
534204402154419, PAMIGEN, PAMIGEN, NOT FOUND, 200 MG PO LIOF INJ CT FA VD TRANS X 10 ML, ZD1
534204001117415, PARATRAM, PARATRAM, NOT FOUND, 37.5 MG + 325.0 MG COM CT BL AL PLAS INC X 10, ZD1
534201201158412, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML (REST HOSP), ZD1
534201202154410, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML (REST HOSP), ZD1
534201203150419, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 5 ML (REST HOSP), ZD1
534201204157417, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML (REST HOSP), ZD1
534201301152416, PROLEUKIN, PROLEUKIN, NOT FOUND, 18.000.000 UI - PO LIOFILO INJ CX 1 FR-AMP, ZD1
534203703118316, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 12, ZD1
534203701115311, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 25, ZD1
534203702111318, PYRIDIUM, PYRIDIUM, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 18, ZD1
534201301152416, PROLEUKIN, PROLEUKIN, NOT FOUND, 18000000 UI PO LIOF CT X FA VD INC (REST HOSP), ZD1
534203703118316, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 12, ZD1
534203701115311, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 25, ZD1
534203702111318, PYRIDIUM, PYRIDIUM, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 18, ZD1
534204401158410, PAMIGEN, PAMIGEN, NOT FOUND, 1 G PO LIOF INJ CT FA VD TRANS X 50 ML, ZD1
534204402154419, PAMIGEN, PAMIGEN, NOT FOUND, 200 MG PO LIOF INJ CT FA VD TRANS X 10 ML, ZD1
534201201158412, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML, ZD1
534201202154410, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML, ZD1
534201204157417, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML, ZD1
534201203150419, PAREXEL, PAREXEL, NOT FOUND, 6MG/ML SOL INJ CT FA VD INC X 5 ML, ZD1
534204002113413, PARATRAM, PARATRAM, NOT FOUND, 37.5 MG + 325 MG COM CT BL AL PLAS INC X 20, ZD1
534204001117415, PARATRAM, PARATRAM, NOT FOUND, 37.5 MG + 325.0 MG COM CT BL AL PLAS INC X 10, ZD1
534201301152416, PROLEUKIN, PROLEUKIN, NOT FOUND, 18000000 UI PO LIOF CT X FA VD INC (REST HOSP), ZD1
534203703118316, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 12, ZD1
534203701115311, PYRIDIUM, PYRIDIUM, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 25, ZD1
534203702111318, PYRIDIUM, PYRIDIUM, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 18, ZD1
534204401158410, PAMIGEN, PAMIGEN, NOT FOUND, 1 G PO LIOF INJ CT FA VD TRANS X 50 ML, ZD1
534204402154419, PAMIGEN, PAMIGEN, NOT FOUND, 200 MG PO LIOF INJ CT FA VD TRANS X 10 ML, ZD1
534201201158412, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 16.7 ML, ZD1
534201202154410, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML, ZD1
534201204157417, PAREXEL, PAREXEL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML, ZD1
534201203150419, PAREXEL, PAREXEL, NOT FOUND, 6MG/ML SOL INJ CT FA VD INC X 5 ML, ZD1
534204002113413, PARATRAM, PARATRAM, NOT FOUND, 37.5 MG + 325 MG COM CT BL AL PLAS INC X 20, ZD1
534204001117415, PARATRAM, PARATRAM, NOT FOUND, 37.5 MG + 325.0 MG COM CT BL AL PLAS INC X 10, ZD1
