1068300640147; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 1.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2000 ML BAIXO TEOR DE CA; BAX
1068300640433; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 2.5% SOL DIAL PERI UMA BOLSA PLASTICA FLEX. X 5000 ML; BAX
1068300640451; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 4.25% SOL DIAL PERI UMA BOLSA PLASTICA FLEX. X 5000 ML; BAX
1068300640417; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 1.5% SOL DIAL PERI UMA BOLSA PLASTICA FLEX. X 5000 ML; BAX
1068300640204; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; (15+5.38+4.48+0.257+0.0508) MG/ML SOL DIAL PERI CX BOLS PLAS INC FLEX X 2500 ML; BAX
1068300640212; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 2.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2500 ML; BAX
1068300640425; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; (15+5.38+4.48+0.257+0.0508) MG/ML SOL DIAL PERI CX BOLS PLAS INC FLEX X 6000 ML; BAX
1068300640468; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 4.25 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 6000 ML; BAX
1068300640281; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 1.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2500 ML BAIXO TEOR DE CA; BAX
1068300640336; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 2.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2500 ML BAIXO TEOR DE CA; BAX
1068300640093; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 1.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 1000 ML; BAX
1068300640107; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 2.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 1000 ML; BAX
1068300640069; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 4.25 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 1000 ML; BAX
1068300640220; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 4.25 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2500 ML; BAX
1068300640020; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; (15+5.38+4.48+0.257+0.0508) MG/ML SOL DIAL PERI CX BOLS PLAS INC FLEX X 2000 ML; BAX
1068300640034; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 2.5 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2000 ML; BAX
1068300640012; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 4.25 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2000 ML; BAX
1068300640441; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; (25+5.38+4.48+0.257+0.0508) MG/ML SOL DIAL PERI CX BOLS PLAS INC FLEX X 6000 ML; BAX
1068300640220; DIANEAL PD-2; DIANEAL PD 2; NOT FOUND; 4.25 % SOL DIAL PERI UMA BOLSA PLAS FLEX X 2500 ML; BAX
1068300640417; DIANEAL PD-2 BOLSA DPI/DPA; DIANEAL PD 2 BOLSA DPI DPA; NOT FOUND; 1.5% SOL INJ CX 2 BOLS PLAS X 5000 ML; BAX
1068300640433; DIANEAL PD-2 BOLSA DPI/DPA; DIANEAL PD 2 BOLSA DPI DPA; NOT FOUND; 2.5% SOL INJ CX 2 BOLS PLAS X 5000 ML; BAX
1068300640451; DIANEAL PD-2 BOLSA DPI/DPA; DIANEAL PD 2 BOLSA DPI DPA; NOT FOUND; 4.25% SOL INJ CX 2 BOLS PLAS X 5000 ML; BAX
1068300920029; DOBUTAFLEX; DOBUTAFLEX; NOT FOUND; 1000 MCG/ML SOL INJ UMA BOLSA PLASTICA X 250 ML; BAX
1068300920045; DOBUTAFLEX; DOBUTAFLEX; NOT FOUND; 2000 MCG/ML SOL INJ UMA BOLSA PLASTICA X 250 ML; BAX
1068301060015; DOPAFLEX; DOPAFLEX; NOT FOUND; 0.8 MG/ML SOL INJ CX BOLSA PLAS X 250 ML (REST. HOSP.); BAX
1068301670018; DESFORANE; DESFORANE; NOT FOUND; 100% LIQ INAL CT 6 FR VD AMB X 240 ML; BAX
1068301670026; DESFORANE; DESFORANE; NOT FOUND; 100% LIQ INAL CT FR VD AMB X 240 ML; BAX
106830062003; DIANEAL 137 BOLSA IPD; DIANEAL 137 BOLSA IPD; NOT FOUND; 1.5% SOL INJ CX UMA BOLSA PLAS X 5000 ML (5/5L); BAX
1068300620070; DIANEAL 137 BOLSA IPD; DIANEAL 137 BOLSA IPD; NOT FOUND; 4.25% SOL INJ CX UMA BOLSA PLAS X 5000 ML (5/5L); BAX
1068301110012; DIASOL; DIASOL; NOT FOUND; 8.4% SOL HD CT GALAO PLASTICO TRANS. X 5 L; BAX
