1037004620091; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED; TTB
1037002350054; AMICACIL; AMICACIL; NOT FOUND; SOL INJ 500MG/2ML CX C/01 AMP; TTB
1037002350062; AMICACIL; AMICACIL; NOT FOUND; SOL INJ 500MG/2ML CX C/50 AMP; TTB
1037002860011; AMINOFILINA; AMINOFILINA; AMINOFILINA; 24 MG/ML SOL INJ CX 50 AMP VD INC X 10 ML (EMB HOSP); TTB
1037002120032; AMINOLIV; AMINOLIV; NOT FOUND; SOL INJ 24MG/ML C/50 AMP; TTB
1037004450021; AMINOFILINA; AMINOFILINA; AMINOFILINA; 100 MG COM CT  BL AL PVC X 20; TTB
1037004450099; AMINOFILINA; AMINOFILINA; AMINOFILINA; 200 MG COM CT BL AL PVC X 20 ; TTB
1037002120016; AMINOLIV; AMINOLIV; NOT FOUND; COMP 100MG CX C/20; TTB
1037002120024; AMINOLIV; AMINOLIV; NOT FOUND; COMP 200MG CX C/20; TTB
1037004450420; AMINOFILINA; AMINOFILINA; AMINOFILINA; 200 MG COM CT BL AL PLAS PVDC 250/120 TRANS X 20; TTB
1037004450307; AMINOFILINA; AMINOFILINA; AMINOFILINA; 200 MG COM CT BL AL PLAS PVDC 250/40 TRANS X 20; TTB
1037004470091; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP DURA CT BL AL PLAS INC X 500 (EMB HOSP); TTB
1037005040102; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO PREP EXT SUS OR CT FR VD AMB X 150 ML + CP MED; TTB
1037005040021; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO PREP EXT SUS OR CT FR VD AMB X 60 ML + CP MED; TTB
1037004470065; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); TTB
1037004470057; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; TTB
1037004470022; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; TTB
1037004470030; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; TTB
1037002990029; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC +  50 DIL AMP VD INC X 3 ML (EMB HOSP); TTB
1037002990010; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 500 MG PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP VD INC X 2 ML (EMB HOSP); TTB
1037000620042; AMPICILASE; AMPICILASE; NOT FOUND; SOL INJ 1G C/ 1 FR/AMP + DILUENTE; TTB
1037000620034; AMPICILASE; AMPICILASE; NOT FOUND; SOL INJ 500MG CX C/01 FR/AMP; TTB
1037000620026; AMPICILASE; AMPICILASE; NOT FOUND; SUSP 250 MG / 5ML FR C/ 60 ML; TTB
1037000620018; AMPICILASE; AMPICILASE; NOT FOUND; CAPS 500 MG CX. C/ 6; TTB
1037000620119; AMPICILASE; AMPICILASE; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; TTB
1037002400019; ANFOTERIN; ANFOTERIN; NOT FOUND; CREME VAG BISN X 60G; TTB
1037001520010; AMLOPRAX; AMLOPRAX; NOT FOUND; COMP 5MG CX C/20; TTB
1037003960018; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 28; TTB
1037003960050; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; TTB
1037001510023; ATEPRESS; ATEPRESS; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 28; TTB
1037001510015; ATEPRESS; ATEPRESS; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; TTB
1037003960093; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 60; TTB
1037003960085; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 60; TTB
1037005140069; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; TTB
1037005140026; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; TTB
1037005140077; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); TTB
1037005140034; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); TTB
1037005240152; ATELIDONA; ATELIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL/PLAS INC X 30; TTB
1037005240179; ATELIDONA; ATELIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL/PLAS INC X 60; TTB
1037005240055; ATELIDONA; ATELIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL/PLAS INC X 30; TTB
1037005240071; ATELIDONA; ATELIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL/PLAS INC X 60; TTB
1037005620036; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; TTB
1037005620109; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; TTB
1037005620044; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 60; TTB
1037005620117; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 60; TTB
1037001930049; ATROMICIN; ATROMICIN; NOT FOUND; PO SUSP ORAL 900MG FR X 22ML; TTB
1037001930014; ATROMICIN; ATROMICIN; NOT FOUND; PO SUSP ORAL 600MG FR X 15ML; TTB
1037001930030; ATROMICIN; ATROMICIN; NOT FOUND; CAPS 250MG CX C/06; TTB
1037004900019; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2; TTB
1037004900027; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; TTB
1037004900043; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 5; TTB
1037001090059; ANTITENSIN; ANTITENSIN; NOT FOUND; 40 MG COM CT BL AL PLAS AMB  X 40; TTB
1037001090075; ANTITENSIN; ANTITENSIN; NOT FOUND; 80 MG COM CT BL AL PLAS AMB X 20; TTB
1037001610060; ANTIDIN; ANTIDIN; NOT FOUND; SOL INJ 50MG/2ML CX C/05 AMP; TTB
1037001610028; ANTIDIN; ANTIDIN; NOT FOUND; 150 MG COM REV CT ENV AL X 20; TTB
1037001610036; ANTIDIN; ANTIDIN; NOT FOUND; COMP REV 300MG CX C/08; TTB
1037001610044; ANTIDIN; ANTIDIN; NOT FOUND; COMP REV 300MG CX C/16; TTB
1037001610052; ANTIDIN; ANTIDIN; NOT FOUND; COMP REV 300MG CX C/32; TTB
1037002070019; ASMOFEN; ASMOFEN; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 30 ML ; TTB
1037002070027; ASMOFEN; ASMOFEN; NOT FOUND; 0.2 MG/ ML XPE CT FR VD AMB X 120 ML; TTB
1037002070051; ASMOFEN; ASMOFEN; NOT FOUND; 0.2MG/ML XPE CT FR PET AMB X 120ML + COP; TTB
1037002070035; ASMOFEN; ASMOFEN; NOT FOUND; COMP 1MG CX C/20; TTB
1037003710021; ANSIRAX; ANSIRAX; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20; TTB
1037000930010; ALDOTENSIN; ALDOTENSIN; NOT FOUND; COMP 250MG CX C/20; TTB
1037000930029; ALDOTENSIN; ALDOTENSIN; NOT FOUND; COMP 500MG CX C/20; TTB
1037002450016; ANDROFLOXIN; ANDROFLOXIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 14; TTB
1037000590025; ANFLENE; ANFLENE; NOT FOUND; CREME BISN X 30G; TTB
1037000590033; ANFLENE; ANFLENE; NOT FOUND; CAPS 10 MG CX C/ 15; TTB
1037000590041; ANFLENE; ANFLENE; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15; TTB
1037000360052; AETHOXYSKLEROL; AETHOXYSKLEROL; NOT FOUND; SOL INJ 0.5% CX C/05 AMP X 2ML; TTB
1037000360060; AETHOXYSKLEROL; AETHOXYSKLEROL; NOT FOUND; SOL INJ 1% C/01 FR/AMP; TTB
1037000360079; AETHOXYSKLEROL; AETHOXYSKLEROL; NOT FOUND; SOL INJ 1% CX C/05AMPX 2ML; TTB
1037000360087; AETHOXYSKLEROL; AETHOXYSKLEROL; NOT FOUND; SOL INJ 3% CX C/05 AMP X 2ML; TTB
1037002380034; ARTINIZONA; ARTINIZONA; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 20; TTB
1037002380018; ARTINIZONA; ARTINIZONA; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; TTB
1037002380026; ARTINIZONA; ARTINIZONA; NOT FOUND; COMP 20MG CX C/10; TTB
