1037005400052; LANSOPRAZOL + CLARITROMICINA + AMOXICILINA; LANSOPRAZOL CLARITROMICINA AMOXICILINA; NOT FOUND; 30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS INC X 28 + BL AL PLAS INC X 14 + 14 + 28; TTB
1037004940029; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT BL AL PLAS INC X 30; TTB
1037005050027; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS BCO OPC X 30; TTB
1037005050043; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS BCO OPC X 75 (EMB HOSP); TTB
1037005050051; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS BCO OPC X 60; TTB
1037005260021; LOTANOL; LOTANOL; NOT FOUND; 50 MG COM REV BL AL PLAS OPC X 30; TTB
1037005260048; LOTANOL; LOTANOL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 60; TTB
1037001760011; LOPRAZOL; LOPRAZOL; NOT FOUND; 10 MG CAP GEL DURA CT FR PLAS OPC X 14; TTB
1037001760021; LOPRAZOL; LOPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 7; TTB
1037001760038; LOPRAZOL; LOPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; TTB
1037001760054; LOPRAZOL; LOPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28; TTB
1037002110010; LAXANTIL; LAXANTIL; NOT FOUND; EMULSAO ORAL CX C/1 FR X C/240ML; TTB
