1037005630031; DILABRONCO; DILABRONCO; NOT FOUND; 10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED; TTB
1037001120012; DELTAMITREN; DELTAMITREN; NOT FOUND; LOCAO 20 MG FR X 100ML; TTB
1037001120020; DELTAMITREN; DELTAMITREN; NOT FOUND; SHAMPOO 20 MG FR X 100ML; TTB
1037000600031; DEXASON; DEXASON; NOT FOUND; SOL INJ 2MG/ML C / 1 AMP; TTB
1037000600058; DEXASON; DEXASON; NOT FOUND; SOL INJ 4MG/ML FR/AMP 2.5 ML CX C/1; TTB
1037002840019; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX  CT FR VD AMB X 100 ML + CP MED; TTB
1037002840027; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1MG/ML ELX CT FR PET AMB X 100ML + CP MED; TTB
1037000600010; DEXASON; DEXASON; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 100 ML; TTB
1037000600029; DEXASON; DEXASON; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 10 G; TTB
1037000600118; DEXASON; DEXASON; NOT FOUND; 1.0 MG/G CREM DERM CT 50 BG AL X 10 G (EMB.HOSP); TTB
1037005520015; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4 MG COM CT BL AL PLAS AMB X 10; TTB
1037000600037; DEXASON; DEXASON; NOT FOUND; COMP 0.5 MG CX C / 20; TTB
1037000600061; DEXASON; DEXASON; NOT FOUND; COMP 0.75 MG CX C / 20; TTB
1037000600045; DEXASON; DEXASON; NOT FOUND; 4 MG COM CT BL AL PLAS X 10; TTB
1037005520023; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); TTB
1037000600169; DEXASON; DEXASON; NOT FOUND; 4MG COM CT BL AL PLAS AMB X 10; TTB
1037005110054; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG/ML SOL INJ CT 72 AMP VD AMB X 2 ML( EMB HOSP); TTB
7757757757757; DICLOFENACO; DICLOFENACO; DICLOFENACO; CONTROLE; TTB
1037003870019; DICLOFENACO; DICLOFENACO; DICLOFENACO; 50 MG COM DIS CT BL AL PLAS INC X 20; TTB
1037003460031; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; TTB
1037003460041; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT 50 FR PLAS OPC GOT X 20 ML (EMB HOSP); TTB
1037003440014; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G; TTB
1037003440022; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 11.6 MG/G GEL CT BG AL X 30 G; TTB
1037003140045; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 25 MG/ML SOL INJ CX 100 AMP VD INC X 3 ML  (EMB. HOSP.); TTB
1037003140010; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; SOL INJ 25 MG/ML - CX. C/ 3 AMP X 3 ML; TTB
1037003140088; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 25 MG/ML SOL INJ CT 100 AMP VD AMB X 3 ML (EMB HOSP); TTB
1037003670028; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 200MG COMP C/20; TTB
1037003060041; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CT 100 AMP VD INC X 3 ML (EMB HOSP); TTB
1037003060017; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; TTB
1037005180044; DICLORIDRATO DE CETIRIZINA; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; TTB
1037004580049; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
1037004580030; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 30; TTB
1037005080023; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; TTB
1037005080058; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); TTB
1037003070098; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML ; TTB
1037003070136; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; TTB
1037003070233; DIPIRONA SODICA; DIPIRONA SODICA; NOT FOUND; 50MG/ML SOL OR CT FR PET AMB X 100ML + COP MED; TTB
1037004700044; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL INJ CT 100 AMP VD AMB  X 2 ML(EMB HOSP); TTB
1037004700052; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL INJ CT 120 AMP VD AMB  X 2 ML(EMB HOSP); TTB
1037003070039; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); TTB
1037003070071; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML (EMB HOSP); TTB
1037003070012; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 10ML; TTB
1037003070055; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 20ML; TTB
1037003340011; DIPROSEN; DIPROSEN; NOT FOUND; 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1 ML; TTB
1037003340052; DIPROSEN; DIPROSEN; NOT FOUND; 5 MG/ML + 2 MG/ML SUS INJ CT 120 AMP VD INC X 1 ML (EMB HOSP); TTB
1037004770018; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G  POM DERM CT BG AL X 30 G ; TTB
1037002330010; DOREND; DOREND; NOT FOUND; DRG 300 MG + 75 MG -BL X12; TTB
1037001710014; DEXAVISON; DEXAVISON; NOT FOUND; 1 MG/ML + 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; TTB
1037001040019; DIURIX; DIURIX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 20; TTB
1037001040027; DIURIX; DIURIX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; TTB
1037001040043; DIURIX; DIURIX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 300 ( EMB HOSP) ; TTB
1037001040035; DIURIX; DIURIX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 300 ( EMB HOSP); TTB
1037001040051; DIURIX; DIURIX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; TTB
1037001040078; DIURIX; DIURIX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; TTB
1037005750010; DERMOVAGIN; DERMOVAGIN; NOT FOUND; 30MG/G+20MG/G CREM VAG CT BG AL X 40G +7 APLIC ; TTB
