1037001800013; FLUITOSS; FLUITOSS; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML; TTB
1037000950011; FLUXIL; FLUXIL; NOT FOUND; SOL INJ 20MG/2ML CX C/05 AMP; TTB
1037000950021; FLUXIL; FLUXIL; NOT FOUND; SOL INJ 20MG/2ML CX C/50 AMP; TTB
1037002770010; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 10 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML; TTB
1037002770029; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 10 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP) ; TTB
1037002770037; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 10 MG/ML SOL INJ CT 60 AMP VD AMB X 2 ML (EMB HOSP)  ; TTB
1037000950038; FLUXIL; FLUXIL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20 ; TTB
1037003430051; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 40 MG COM CT BL AL PVDC LEIT X 100 (EMB HOSP); TTB
1037003430043; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 40 MG COM CT BL AL PVDC LEIT X 20; TTB
1037003430035; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 40 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); TTB
1037003430078; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 40 MG COM CT BL AL PLAS PVC OPC X 20; TTB
1037005960023; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PVDC OPC X 28; TTB
1037005960015; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PVDC OPC X 14 ; TTB
1037005960058; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PVC OPC X 280 (EMB HOSP); TTB
1037005960112; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PVC OPC X 28; TTB
1037005960171; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PVC OPC X 280 (EMB HOSP); TTB
1037005960236; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PVC OPC X 28; TTB
1037005960295; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PVC OPC X 280 (EMB HOSP); TTB
1037004500029; FUNGONAX; FUNGONAX; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; TTB
1037004500010; FUNGONAX; FUNGONAX; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 ; TTB
