1037002730019; CELESTAN; CELESTAN; NOT FOUND; SOL INJ 4 MG/ML CX. C/ 1AMP.; TTB
1037003120036; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR VD AMB X 120ML + 50 CP MED (EMB. HOSP.); TTB
1037003120079; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT 50 FR VD AMB X 120ML + 50 CP MED (EMB. HOSP.); TTB
1037003120011; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX FR VD AMB X 120ML + CP MED; TTB
1037003120052; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120ML + CP MED; TTB
1037003120133; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PET AMB X 120 ML + CP MED ; TTB
1037003120151; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PET AMB X 120 ML + 50 CP MED (EMB HOSP); TTB
1037003120095; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PET AMB X 120 ML + CP MED ; TTB
1037003120117; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PET AMB X 120 ML + 50 CP MED (EMB HOSP); TTB
1037003670011; CARDICORON; CARDICORON; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; TTB
1037003670028; CARDICORON; CARDICORON; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; TTB
1037005100024; CLORIDRATO DE AMITRIPTILINA (PORT. 344/98 LISTA C1); CLORIDRATO AMITRIPTILINA PORT 344 98 LISTA C1; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 30; TTB
1037005100040; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CX BL AL PLAS INC X 100 (EMB HOSP); TTB
1037005100016; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS INC X 20; TTB
1037002910025; CLOCEF; CLOCEF; NOT FOUND; 1 G PO INJ CT FR AMP VD AMB+ AMP DIL X 3.0 ML ( EMB HOSP); TTB
1037002910033; CLOCEF; CLOCEF; NOT FOUND; 2 G PO INJ CT FR AMP VD AMB (EMB HOSP); TTB
1037002910041; CLOCEF; CLOCEF; NOT FOUND; 1 G PO INJ CX 50 FR AMP VD AMB (EMB HOSP); TTB
1037002910051; CLOCEF; CLOCEF; NOT FOUND; 2 G PO INJ CX 50 FR AMP VD AMB (EMB HOSP); TTB
1037005680047; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 14; TTB
1037005680081; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PVDC INC X 14; TTB
1037005680020; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 7; TTB
1037002690025; CLINDAMIN - C; CLINDAMIN C; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 16; TTB
1037004710058; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 320(EMB HOSP); TTB
1037004710015; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 16; TTB
1037002540090; CORDIL; CORDIL; NOT FOUND; 60 MG COM CT BL AL PVDC LEITOSO X 50; TTB
1037002540066; CORDIL; CORDIL; NOT FOUND; 90 MG CAP AP CT FR VD AMB X 20; TTB
1037005820035; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 250 MG  SOL INJ IV CX 50 AMP VD INC X 20 ML(EMB HOSP); TTB
1037003950020; CLORIDRATO DE DOPAMINA; CLORIDRATO DOPAMINA; CLORIDRATO DOPAMINA; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML; TTB
1037003950047; CLORIDRATO DE DOPAMINA; CLORIDRATO DOPAMINA; CLORIDRATO DOPAMINA; 5  MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML (EMB HOSP); TTB
1037005290036; CLORIDRATO DE DORZOLAMIDA + MALEATO DE TIMOLOL; CLORIDRATO DORZOLAMIDA MALEATO TIMOLOL; NOT FOUND; 20 MG/ML + 5MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML; TTB
1037001080029; CLORDOX; CLORDOX; NOT FOUND; 100 MG COM REV CT BL AL PLAS X 15; TTB
1037005740104; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG/ML SOL OR CT FR GOT PLAS TRANSL X 20 ML; TTB
1037004870020; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; TTB
1037004870063; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 70(EMB HOSP); TTB
1037005280030; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML SOL INJ CX 50 FA VD INC X 20 ML (EMB HOSP) ; TTB
1037002830013; CLORIDRATO DE LINCOMICINA; CLORIDRATO LINCOMICINA; CLORIDRATO LINCOMICINA; 300 MG/ML SOL INJ CT AMP VD INC X 2 ML; TTB
1037005950125; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10MG COM REV CT BL AL PVDC 250/120 TRANS X 30; TTB
1037005950141; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10MG COM REV CT BL AL PVDC 250/120 TRANS X 60; TTB
1037005950168; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10MG COM REV CT BL AL PVDC 250/120 TRANS X 500 (EMB HOSP); TTB
1037005060081; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500MG COM CT BL AL PLAS INC X 50 (EMB HOSP); TTB
1037005060030; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); TTB
1037005060049; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS INC X 60; TTB
1037005060022; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS INC X 30; TTB
1037005060073; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM CT BL AL PLAS INC X 30; TTB
1037005060091; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM CT BL AL PLAS INC X 60; TTB
1037002810063; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 5 MG/ML SOL INJ CT 120 AMP VD AMB X 2 ML (EMB HOSP) ; TTB
1037002810012; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 5 MG/ML SOL INJ CT 100 AMP VD INC X 2 ML (EMB HOSP) ; TTB
1037002810039; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 5 MG/ML SOL INJ CT 120 AMP VD INC X 2 ML (EMB HOSP); TTB
1037002810020; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; TTB
1037004550018; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; TTB
1037001130018; COLIRIO TEUTO; COLIRIO TEUTO; NOT FOUND; 0.15MG/ML + 0.3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML; TTB
1037004690014; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.25 MG/ML SOL NASAL CT FR PLAS OPC X 20 ML ; TTB
1037004690057; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.50 MG/ML SOL NASAL CT FR PLAS OPC X 10 ML; TTB
1037004690091; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.50 MG/ML SOL NASAL CT FR PLAS OPC X 30 ML ; TTB
1037005490027; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20MG COM REV CT BL AL PLAS INC X 20 ; TTB
1037005490035; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; TTB
1037006010010; CLORIDRATO DE PROMETAZINA; CLORIDRATO PROMETAZINA; CLORIDRATO PROMETAZINA; 25 MG COM REV CT BL AL PLAS TRANS X 20; TTB
1037006010029; CLORIDRATO DE PROMETAZINA; CLORIDRATO PROMETAZINA; CLORIDRATO PROMETAZINA; 25 MG COM REV CT BL AL PLAS TRANS X 200 (EMB HOSP); TTB
1037003790041; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT 10 BL AL PLAS AMB X 10 (EMB HOSP); TTB
1037003790015; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; COMP. 40 MG - CX C/ 20; TTB
1037003790023; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT 3 BL AL PLAS AMB X 10; TTB
1037003790031; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT 4 BL AL PLAS AMB X 10; TTB
1037003790090; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; COMP. 80 MG - CX C/ 100; TTB
1037003790074; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT 2 BL AL PLAS AMB X 10; TTB
1037003790082; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT 3 BL AL PLAS AMB X 10; TTB
1037003850042; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX C/ 100 AMP VD AMB X 2 ML (EMB HOSP); TTB
1037003850026; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX C/ 5 AMP VD AMB X 2 ML; TTB
1037003850069; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CT 120 AMP VD AMB X 2 ML (EMB HOSP) ; TTB
1037004490171; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CX ENV AL X 100 (EMB HOSP); TTB
1037004490163; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT ENV AL X 20; TTB
1037004490155; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT ENV AL X 10 ; TTB
1037004490104; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT ENV AL X 10; TTB
1037004490074; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT ENV AL X 20; TTB
1037004490120; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CX ENV AL X 100 (EMB HOSP); TTB
1037004490211; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20; TTB
1037005310045; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PLAS TRANS X 30; TTB
1037005310010; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PLAS TRANS X 10; TTB
1037005310053; CLORIDRATO DE SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; CLORIDRATO SIBUTRAMINA MONOIDRATADO; 15 MG CAP GEL DURA CT BL AL PLAS TRANS X 60; TTB
1037005570047; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM DERM CT BG AL X 20G; TTB
1037005670041; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP DURA CT STR AL X 500 (EMB HOSP); TTB
1037005670017; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP DURA CT STR AL X 8; TTB
1037005320016; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 20 ; TTB
1037005320024; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 30; TTB
1037005020039; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT 60 AMP VD AMB X 1 ML (EMB HOSP); TTB
1037005020063; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT 60 AMP VD AMB X 2 ML (EMB HOSP); TTB
1037005030018; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS INC X 10; TTB
1037005030034; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP); TTB
1037004610010; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO LIOF INJ CT FA VD INC ; TTB
