1037005210067; BACITRACINA ZÍNCICA + SULFATO DE NEOMICINA; BACITRACINA ZINCICA SULFATO NEOMICINA; NOT FOUND; 5MG/G + 250 UI/G POM DERM CX 50 BG AL X 15 G (EMB HOSP); TTB
1037001450012; BENCOÇAN; BENCOCAN; NOT FOUND; LOC TP 0.25 MG/ML FR X 100 ML; TTB
1037004540081; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CX 50 FR VD AMB X 100 ML + CP MED X 10 ML (EMB HOSP); TTB
1037004540039; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CT 01 FR VD AMB X 100 ML + CP MED X 10 ML; TTB
1037003720017; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM  BL AL PLAS OPC X 20; TTB
1037003720025; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM BL AL PLAS OPC X 30; TTB
1037003720041; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30; TTB
1037004950024; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30; TTB
1037004950040; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
1037004950016; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20 ; TTB
1037004950083; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
1037004950059; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20 ; TTB
1037004950067; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30; TTB
1037004660018; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL INAL CT FR VD AMB GOT X 20 ML ; TTB
1037004660026; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL INAL CX 100 FR VD AMB GOT X 20 ML (EMB HOSP); TTB
1037005810013; BROMETO DE PINAVERIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 50 MG COM REV CT BL AL PLAS PVC TRANS X 10; TTB
1037005810021; BROMETO DE PINAVERIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 50 MG COM REV CT BL AL PLAS PVC TRANS X 20; TTB
1037005810031; BROMETO DE PINAVERIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 50 MG COM REV CT BL AL PLAS PVC TRANS X 30; TTB
1037005810048; BROMETO DE PINAVERIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 50 MG COM REV CT BL AL PLAS PVC TRANS X 60; TTB
1037005810171; BROMETO DE PINAVERIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS PVC OPC X 30; TTB
1037005810188; BROMETO DE PINAVERIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS PVC OPC X 60; TTB
1037004670013; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB X 20 ML + CGT ; TTB
1037004670048; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CX 100 FR VD AMB X 20 ML + CGT (EMB HOSP); TTB
1037004050015; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD AMB X 20 ML + GOT; TTB
1037003580010; BEQUIDRIL; BEQUIDRIL; NOT FOUND; XPE FR C/ 120 ML; TTB
1037002610024; BENEUM; BENEUM; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 30; TTB
1037002610031; BENEUM; BENEUM; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 50 (EMB HOSP); TTB
1037003940017; BUTAZONIL; BUTAZONIL; NOT FOUND; DRG 200 MG CX C/20; TTB
1037002440010; BROMOTEC; BROMOTEC; NOT FOUND; SOL ORAL GTS 5MG/ML FR X 20ML; TTB
1037000324280; BUCLAMIN; BUCLAMIN; NOT FOUND; SOL ORAL FR C/ 100 ML; TTB
