1037005780025; PNEUMUCIL; PNEUMUCIL; NOT FOUND; 20MG/ML XPE CT FR VD AMB X 120ML + COP MED; TTB
1037001020158; PRESSOTEC; PRESSOTEC; NOT FOUND; 20 MG COM CT BL AL/AL X 30; TTB
1037001020115; PRESSOTEC; PRESSOTEC; NOT FOUND; 5 MG COM CT BL AL/AL X 30; TTB
1037000610011; PANVERM; PANVERM; NOT FOUND; SUSP ORAL 100 MG/5ML FR X 30 ML; TTB
1037000610021; PANVERM; PANVERM; NOT FOUND; COMP 100 MG CX C/ 6; TTB
1037005360042; PROSTAFLUX; PROSTAFLUX; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; TTB
1037003080026; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT 50 FR PLAS OPC GOT X 15 ML (EMB HOSP); TTB
1037003080042; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; TTB
1037003080018; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT 100 FR PLAS OPC GOT X 15 ML (EMB HOSP); TTB
1037003880170; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 200 (EMB MULT); TTB
1037003880162; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS TRANS X 200 (EMB MULT); TTB
1037003880022; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); TTB
1037003880111; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 20; TTB
1037003880138; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 200 (EMB HOSP); TTB
1037003880057; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 20; TTB
1037002480020; PEFLOXIDINA; PEFLOXIDINA; NOT FOUND; COMP REV 400MG CX C/10; TTB
1037002480039; PEFLOXIDINA; PEFLOXIDINA; NOT FOUND; COMP REV 400MG CX C/20; TTB
1037001210011; PENTOXIN; PENTOXIN; NOT FOUND; 400 MG DRG CT BL AL PLAS INC X 20; TTB
1037002230016; PERMETEL; PERMETEL; NOT FOUND; EMULSAO TP FR 1% - FR. X 60 ML; TTB
1037004480011; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10; TTB
1037004480028; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT 02 BL AL PLAS INC X 10; TTB
1037005890041; PREGABALINA; PREGABALINA; PREGABALINA; 75 MG CAP DURA CT BL AL PLAS TRANS X 28; TTB
1037005890114; PREGABALINA; PREGABALINA; PREGABALINA; 150 MG CAP DURA CT BL AL PLAS TRANS X 28; TTB
1037003210078; PROFERGAN; PROFERGAN; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30 G; TTB
1037004760047; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30 G; TTB
1037004590011; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G ; TTB
