267767; QUINIDINA SULFATO; QUINIDINA SULFATO; NOT FOUND; 200 MG COMPRIMIDO; NO_ACR
272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG COMPRIMIDO; NO_ACR
272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG COMPRIMIDO; NO_ACR
272833; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390005; QUETIAPINA; QUETIAPINA; QUETIAPINA; 50 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390006; QUETIAPINA; QUETIAPINA; QUETIAPINA; 300 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
390007; QUETIAPINA; QUETIAPINA; QUETIAPINA; 200 MG. LIBERACAO PROLONGADA COMPRIMIDO; NO_ACR
428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL FRASCO 30.00 ML; NO_ACR
428149; QUELATO DE COBRE; QUELATO COBRE; NOT FOUND; 1 MG/ML. SOLUCAO ORAL FRASCO 30.00 ML; NO_ACR
