343603; UREIA; UREIA; UREIA; 300 MG/G. CREME BISNAGA 10.00 G; NO_ACR
345783; UREIA; UREIA; UREIA; 100 MG/G. CREME FRASCO 60.00 G; NO_ACR
345783; UREIA; UREIA; UREIA; 100 MG/G. CREME FRASCO 200.00 ML; NO_ACR
367383; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 20 MG/ML. SUSPENSAO ORAL. MEDICAMENTO ESPECIALMENTE MANIPULADO FRASCO 30.00 ML; NO_ACR
395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA FRASCO 60.00 G; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 1.00 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 0.50 ML; NO_ACR
400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL FRASCO 1.00 ML; NO_ACR
412414; UREIA; UREIA; UREIA; C/ ALANTOINA. OLEO AMENDOAS DOCES E LACT. AMONIO. 10% + 2% + 8% + 12%. LOCAO. FORMULACAO ESPECIALMENTE MANIPULADA FRASCO 120.00 ML; NO_ACR
419606; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 80 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO FRASCO 30.00 ML; NO_ACR
343604; UREIA; UREIA; UREIA; 200 MG/G. CREME POTE 500.00 G; NO_ACR
345783; UREIA; UREIA; UREIA; 100 MG/G. CREME POTE 120.00 G; NO_ACR
345783; UREIA; UREIA; UREIA; 100 MG/G. CREME POTE 120.00 G; NO_ACR
395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA POTE 500.00 G; NO_ACR
