63208; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 16; RBY
63928; CINARIZINA MG ; CINARIZINA; CINARIZINA; CPR 25 MG x 30; RBY
72458; CINARIZINA MG ; CINARIZINA; CINARIZINA; CPR 75 MG x 100; RBY
63929; CINARIZINA MG ; CINARIZINA; CINARIZINA; CPR 75 MG x 30; RBY
61942; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 14; RBY
61943; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 28; RBY
68898; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 30; RBY
63206; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; SUSP 125 MG 60 ML x 1 (/5ML); RBY
63207; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; SUSP 250 MG 60 ML x 1 (/5ML); RBY
59186; CLO CLINDAMICIN MG ; CLO CLINDAMICIN; CLORIDRATO CLINDAMICINA; CPR 300 MG x 10; RBY
59187; CLO CLINDAMICIN MG ; CLO CLINDAMICIN; CLORIDRATO CLINDAMICINA; CPR 300 MG x 16; RBY
60954; CLO DOXICICLINA MG ; CLO DOXICICLINA; CLORIDRATO DOXICICLINA; CPR REVEST 100 MG x 15; RBY
61946; CLO MINOCICLINA MG ; CLO MINOCICLINA; CLORIDRATO MINOCICLINA; CPR REVEST 100 MG x 30; RBY
60955; CLO MINOCICLINA MG ; CLO MINOCICLINA; CLORIDRATO MINOCICLINA; CPR REVEST 100 MG x 9; RBY
77015; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 10 MG x 10; RBY
73354; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 10 MG x 30; RBY
77014; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 15 MG x 10; RBY
73355; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 15 MG x 30; RBY
61948; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 28; RBY
125017; CLO VALACICLOVI MG ; CLO VALACICLOVI; CLORIDRATO VALACICLOVIR; CPR REVEST 500 MG x 10; RBY
125019; CLO VALACICLOVI MG ; CLO VALACICLOVI; CLORIDRATO VALACICLOVIR; CPR REVEST 500 MG x 42; RBY
92726; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CPR 37.5 MG x 28; RBY
92739; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CPR 75 MG x 28; RBY
70839; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 0.50 MG x 20; RBY
70838; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 0.50 MG x 30; RBY
70840; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 20; RBY
70841; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 30; RBY
75388; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 14; RBY
75389; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 28; RBY
63566; CLOR SOTALOL MG ; CLOR SOTALOL; CLORIDRATO SOTALOL; CPR 160 MG x 20; RBY
64196; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 2.50 MG x 30 (/25); RBY
64481; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 5 MG x 30 (/50); RBY
71665; CLOR.AMIODARONA MG ; CLOR AMIODARONA; CLORIDRATO AMIODARONA; CPR 100 MG x 20; RBY
71666; CLOR.AMIODARONA MG ; CLOR AMIODARONA; CLORIDRATO AMIODARONA; CPR 200 MG x 20; RBY
71667; CLOR.AMIODARONA MG ; CLOR AMIODARONA; CLORIDRATO AMIODARONA; CPR 200 MG x 30; RBY
61944; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 25 MG x 20; RBY
61945; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 75 MG x 20; RBY
62421; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 14; RBY
58369; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 6; RBY
71362; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; SOLN OFTAL 0.35 % 5 ML x 1; RBY
70200; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 30 MG x 30; RBY
70201; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 30 MG x 50; RBY
70202; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 30; RBY
70203; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 50; RBY
75975; CLOR.DONEPEZILA MG ; CLOR DONEPEZILA; CLORIDRATO DONEPEZILA; CPR REVEST 10 MG x 30; RBY
94912; CLOR.DONEPEZILA MG ; CLOR DONEPEZILA; CLORIDRATO DONEPEZILA; CPR REVEST 5 MG x 30; RBY
62999; CLOR.FEXOFENADI.MG ; CLOR FEXOFENADI; CLORIDRATO FEXOFENADINA; CPR REVEST 120 MG x 10; RBY
63000; CLOR.FEXOFENADI.MG ; CLOR FEXOFENADI; CLORIDRATO FEXOFENADINA; CPR REVEST 180 MG x 10; RBY
58927; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 28; RBY
70842; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 30; RBY
62424; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; RBY
63645; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; RBY
68900; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 60; RBY
71367; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CPR 25 MG x 20; RBY
71368; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CPR 25 MG x 30; RBY
71369; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CPR 50 MG x 30; RBY
71370; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CPR 75 MG x 30; RBY
62425; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR 20 MG x 20; RBY
62426; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR 20 MG x 30; RBY
57489; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 10; RBY
57491; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 10; RBY
57492; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 30; RBY
58972; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 20; RBY
58973; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 28; RBY
68950; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 30; RBY
74157; CLOR.TIZANIDINA MG ; CLOR TIZANIDINA; CLORIDRATO TIZANIDINA; CPR 2 MG x 20; RBY
74158; CLOR.TIZANIDINA MG ; CLOR TIZANIDINA; CLORIDRATO TIZANIDINA; CPR 2 MG x 30; RBY
63932; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 25 MG x 42; RBY
70119; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 25 MG x 60; RBY
