1163700240594; ERITROMAX; ERITROMAX; NOT FOUND; 10000 UI/ML SOL INJ CT SER PRE-ENCH X 0.3 ML; BU_
1163700240349; ERITROMAX; ERITROMAX; NOT FOUND; 4000 UI PO LIOF INJ CX FA VD INC + DIL X 1 ML; BU_
1163700240381; ERITROMAX; ERITROMAX; NOT FOUND; 4000 UI PO LIOF INJ CX 12 FA VD INC + DIL X 1 ML; BU_
1163700240799; ERITROMAX; ERITROMAX; NOT FOUND; 1000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML; BU_
1163700240837; ERITROMAX; ERITROMAX; NOT FOUND; 1000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML; BU_
1163700240942; ERITROMAX; ERITROMAX; NOT FOUND; 10000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML; BU_
1163700240985; ERITROMAX; ERITROMAX; NOT FOUND; 10000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML; BU_
1163700240845; ERITROMAX; ERITROMAX; NOT FOUND; 2000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML; BU_
1163700240888; ERITROMAX; ERITROMAX; NOT FOUND; 2000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML; BU_
1163700240993; ERITROMAX; ERITROMAX; NOT FOUND; 3000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML; BU_
1163700241035; ERITROMAX; ERITROMAX; NOT FOUND; 3000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML; BU_
1163700240896; ERITROMAX; ERITROMAX; NOT FOUND; 4000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML; BU_
1163700240934; ERITROMAX; ERITROMAX; NOT FOUND; 4000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML; BU_
1163700241043; ERITROMAX; ERITROMAX; NOT FOUND; 40000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML; BU_
1163700241094; ERITROMAX; ERITROMAX; NOT FOUND; 40000 UI/ML SOL INJ CX 1 FA VD INC X 1 ML; BU_
1163700241140; ERITROMAX; ERITROMAX; NOT FOUND; 40000 UI/ML SOL INJ CX 1 SER PREENC X 1 ML; BU_
1163700241086; ERITROMAX; ERITROMAX; NOT FOUND; 40000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML; BU_
1163700241132; ERITROMAX; ERITROMAX; NOT FOUND; 40000 UI/ML SOL INJ CX 12 FA VD INC X 1 ML; BU_
1163700241183; ERITROMAX; ERITROMAX; NOT FOUND; 40000 UI/ML SOL INJ CX 12 SER PREENC X 1 ML; BU_
1163700241541; ERITROMAX; ERITROMAX; NOT FOUND; 10000 UI/ML SOL INJ CT 1 SER PREENCH X 0.3 ML + SISTEMA SEGURANCA; BU_
1163700241647; ERITROMAX; ERITROMAX; NOT FOUND; 10000 UI/ML SOL INJ CT 1 SER PREENCH X 0.4 ML + SISTEMA SEGURANCA; BU_
1163700241590; ERITROMAX; ERITROMAX; NOT FOUND; 10000 UI/ML SOL INJ CT 1 SER PREENCH X 1 ML + SISTEMA SEGURANCA; BU_
1163700241582; ERITROMAX; ERITROMAX; NOT FOUND; 10000 UI/ML SOL INJ CT 12 SER PREENCH X 0.3 ML + SISTEMA SEGURANCA; BU_
1163700241681; ERITROMAX; ERITROMAX; NOT FOUND; 10000 UI/ML SOL INJ CT 12 SER PREENCH X 0.4 ML + SISTEMA SEGURANCA; BU_
1163700241639; ERITROMAX; ERITROMAX; NOT FOUND; 10000 UI/ML SOL INJ CT 12 SER PREENCH X 1 ML + SISTEMA SEGURANCA; BU_
1163700241396; ERITROMAX; ERITROMAX; NOT FOUND; 2000 UI/ML SOL INJ CT 1 SER PREENCH X 0.5 ML + SISTEMA SEGURANCA; BU_
1163700241434; ERITROMAX; ERITROMAX; NOT FOUND; 2000 UI/ML SOL INJ CT 12 SER PREENCH X 0.5 ML + SISTEMA SEGURANCA; BU_
1163700241442; ERITROMAX; ERITROMAX; NOT FOUND; 4000 UI/ML SOL INJ CT 1 SER PREENCH X 0.5 ML + SISTEMA SEGURANCA; BU_
1163700241531; ERITROMAX; ERITROMAX; NOT FOUND; 4000 UI/ML SOL INJ CT 12 SER PREENCH X 1 ML + SISTEMA SEGURANCA; BU_
1163700241493; ERITROMAX; ERITROMAX; NOT FOUND; 4000 UI/ML SOL INJ CT 1 SER PREENCH X 1 ML + SISTEMA SEGURANCA; BU_
1163700241485; ERITROMAX; ERITROMAX; NOT FOUND; 4000 UI/ML SOL INJ CT 12 SER PREENCH X 0.5 ML + SISTEMA SEGURANCA; BU_
1163700241698; ERITROMAX; ERITROMAX; NOT FOUND; 40000 UI/ML SOL INJ CT 1 SER PREENCH X 1 ML + SISTEMA SEGURANCA; BU_
1163700241736; ERITROMAX; ERITROMAX; NOT FOUND; 40000 UI/ML SOL INJ CT 12 SER PREENCH X 1 ML + SISTEMA SEGURANCA; BU_
1163700240012; ERITROMAX; ERITROMAX; NOT FOUND; 500 UI/ML SOL INJ CX FA VD INC X 2 ML; BU_
1163700240020; ERITROMAX; ERITROMAX; NOT FOUND; 1000 UI/ML SOL INJ CX FA VD INC X 2 ML; BU_
1163700240039; ERITROMAX; ERITROMAX; NOT FOUND; 2000 UI/ML SOL INJ CX FA VD INC X 2 ML; BU_
1163700240748; ERITROMAX; ERITROMAX; NOT FOUND; 3000 UI/ML SOL INJ CX FA VD INC X 1 ML; BU_
1163700240780; ERITROMAX; ERITROMAX; NOT FOUND; 3000 UI/ML SOL INJ CX 12 FA VD INC X 1 ML; BU_
1163700240756; ERITROMAX; ERITROMAX; NOT FOUND; 3000 UI/ML SOL INJ CX 3 FA VD INC X 1 ML; BU_
1163700240764; ERITROMAX; ERITROMAX; NOT FOUND; 3000 UI/ML SOL INJ CX 6 FA VD INC X 1 ML; BU_
1163700240772; ERITROMAX; ERITROMAX; NOT FOUND; 3000 UI/ML SOL INJ CX 9 FA VD INC X 1 MLML; BU_
1163700710027; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL. INJ. CX 1 SER VD INC. X 0.4 ML; BU_
1163700710019; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL. INJ. CX 1 SER VD INC. X 0.2 ML ; BU_
1163700710035; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL. INJ. CX 1 SER VD INC. X 0.6 ML ; BU_
1163700710043; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL. INJ. CX 1 SER VD INC. X 0.8 ML ; BU_
1163700710051; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL. INJ. CX 1 SER VD INC. X 1.0 ML ; BU_
1163700710078; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 10 SER VD INC X 0.4 ML; BU_
1163700710094; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 10 SER VD INC X 0.8 ML; BU_
1163700710086; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 10 SER VD INC X 0.6 ML; BU_
1163700710061; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 10 SER VD INC X 0.2 ML; BU_
1163700710108; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 10 SER VD INC X 1.0 ML; BU_
1163700710116; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 1 SER VD INC X 0.2 ML + SIST SEGURANCA; BU_
1163700710124; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 1 SER VD INC X 0.4 ML + SIST SEGURANCA; BU_
1163700710132; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 1 SER VD INC X 0.6 ML + SIST SEGURANCA; BU_
1163700710140; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 1 SER VD INC X 0.8 ML + SIST SEGURANCA; BU_
1163700710167; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 10 SER VD INC X 0.2 ML + SIST SEGURANCA; BU_
1163700710175; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 10 SER VD INC X 0.4 ML + SIST SEGURANCA; BU_
1163700710159; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 1 SER VD INC X 1.0 ML + SIST SEGURANCA; BU_
1163700710205; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 10 SER VD INC X 1.0 ML + SIST SEGURANCA; BU_
1163700710191; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 10 SER VD INC X 0.8 ML + SIST SEGURANCA; BU_
1163700710183; ENOXALOW; ENOXALOW; NOT FOUND; 100 MG/ML SOL INJ CX 10 SER VD INC X 0.6 ML + SIST SEGURANCA; BU_
1163700760016; ETOMIDATO; ETOMIDATO; ETOMIDATO; 2 MG/ML SOL INJ CX C/5 AMP VD INC X 10 ML (EMB HOSP); BU_
1163700760024; ETOMIDATO; ETOMIDATO; ETOMIDATO; 2 MG/ML SOL INJ CX C/ 25 AMP VD INC X 10 ML (EMB HOSP) ; BU_
1163700360034; EPÓSIDO; EPOSIDO; NOT FOUND; 20 MG/ML SOL INJ CT 10 FA VD INC X 5 ML; BU_
1163700360018; EPÓSIDO; EPOSIDO; NOT FOUND; ETOPOSIDO 100 MG - CX COM BLISTER DE 10 CAPSULAS; BU_
1163700360026; EPÓSIDO; EPOSIDO; NOT FOUND; ETOPOSIDO 50 MG - CX COM BLISTER DE 20 CAPSULAS; BU_
1163700810013; EFRINALIN; EFRINALIN; NOT FOUND; 1 MG/ML SOL INJ CX 100 AMP VD  AMB X 1 ML; BU_
