1163700930051; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC; BU_
1163700580107; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 12 AMP VD INC X 1 ML ; BU_
1163700580050; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 12 FA VD INC X 1 ML ; BU_
1163700580158; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 12 SER PREENCH X 1 ML ; BU_
1163700580166; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 01 SER PREENCH X 0.5 ML  ; BU_
1163700580174; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 03 SER PREENCH X 0.5 ML  ; BU_
1163700580182; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 05 SER PREENCH X 0.5 ML  ; BU_
1163700580190; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 10 SER PREENCH X 0.5 ML  ; BU_
1163700580204; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 12 SER PREENCH X 0.5 ML  ; BU_
1163700580212; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 1 SER PREENCH VD INC X 1 ML + SISTEMA DE SEGURANCA; BU_
1163700580247; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 10 SER PREENCH VD INC X 1 ML + SISTEMA DE SEGURANCA; BU_
1163700580255; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 12 SER PREENCH VD INC X 1 ML + SISTEMA DE SEGURANCA; BU_
1163700580239; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 5 SER PREENCH VD INC X 1 ML + SISTEMA DE SEGURANCA; BU_
1163700580281; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 05 SER PREENCHIDA VD INC X 0.5 ML + SISTEMA DE SEGURANCA; BU_
1163700580263; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 01 SER PREENCH VD INC X 0.5 ML + SISTEMA DE SEGURANCA; BU_
1163700580298; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 10 SER PREENCHIDA VD INC X 0.5 ML + SISTEMA DE SEGURANCA; BU_
1163700580301; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 12 SER PREENCHIDA VD INC X 0.5 ML + SISTEMA DE SEGURANCA; BU_
1163701250011; FUNGICIDEN; FUNGICIDEN; NOT FOUND; 2 MG/ML SOL INJ INFUS IV CT FR PLAS TRANS SIST FECH X 100 ML ; BU_
1163701280018; FLUTAMIDA; FLUTAMIDA; FLUTAMIDA; 250 MG COM CT BL AL PLAS TRANS X 20 ; BU_
1163701280026; FLUTAMIDA; FLUTAMIDA; FLUTAMIDA; 250 MG COM CT BL AL PLAS TRANS X 60; BU_
1163701280034; FLUTAMIDA; FLUTAMIDA; FLUTAMIDA; 250 MG COM CT BL AL PLAS TRANS X 90; BU_
1163701240016; FUROSETRON; FUROSETRON; NOT FOUND; 10 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML ; BU_
