75419, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, S_A
49922, PROFENID GEL , PROFENID GEL, NOT FOUND, GEL. 2.50 % 30 G x 1, S_A
49923, PROFENID GOTAS , PROFENID GOTAS, NOT FOUND, GOTAS 2 % 20 ML x 1, S_A
134323, PROFENID PROTECT , PROFENID PROTECT, NOT FOUND, CAPS GEL DUR x 10, S_A
74484, PROFENID XAROPE , PROFENID XAROPE, NOT FOUND, XAROPE 1 MG 150 ML x 1 (/ML), S_A
75802, PROMETAZINA MG , PROMETAZINA, PROMETAZINA, CREME. 20 MG 30 G x 1 (/G), S_A
77288, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 100 Y x 28, S_A
31211, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 100 Y x 30, S_A
77289, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 112 Y x 28, S_A
64253, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 112 Y x 30, S_A
77290, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 125 Y x 28, S_A
56633, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 125 Y x 30, S_A
77291, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 150 MG x 28, S_A
54792, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 150 Y x 30, S_A
77293, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 175 Y x 28, S_A
57800, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 175 Y x 30, S_A
77294, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 200 Y x 28, S_A
61997, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 200 Y x 30, S_A
77283, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 25 Y x 28, S_A
54789, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 25 Y x 30, S_A
77284, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 50 Y x 28, S_A
54790, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 50 Y x 30, S_A
77285, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 75 Y x 28, S_A
54791, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 75 Y x 30, S_A
77286, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 88 Y x 28, S_A
64252, PURAN T-4 , PURAN T 4, NOT FOUND, CPR 88 Y x 30, S_A
