53327; CALCIGENOL B12 ; CALCIGENOL B12; NOT FOUND; LIQD 300 ML x 1; S_A
82389; CEPACOL PLUS ; CEPACOL PLUS; NOT FOUND; SOL SENSIVIT 250 ML x 1; S_A
82380; CEPACOL PLUS ; CEPACOL PLUS; NOT FOUND; SOL WHITENIN 250 ML x 1; S_A
77192; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; S_A
73541; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; CPR REVEST 100 MG x 20; S_A
75007; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; GEL. 25 MG 30 G x 1 (/G); S_A
74879; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; GOTAS 20 MG 20 ML x 1 (/ML); S_A
28395; CEWIN ; CEWIN; NOT FOUND; CPR RETARD 500 MG x 30; S_A
51163; CEWIN ; CEWIN; NOT FOUND; CPR EFE LARA 1 G x 10; S_A
56121; CEWIN ; CEWIN; NOT FOUND; CPR EFE LARA 500 MG x 10; S_A
79964; CEWIN ; CEWIN; NOT FOUND; CPR EFE LARA 500 MG x 30; S_A
46004; CEWIN ; CEWIN; NOT FOUND; GOTAS 200 MG 20 ML x 1 (/ML); S_A
75199; CEWIN ; CEWIN; NOT FOUND; K 3X2 CPR EF 1 G x 1; S_A
75198; CEWIN ; CEWIN; NOT FOUND; K 3X2 CPR EF 500 MG x 1; S_A
51164; CEWIN EFERVESCENTE ; CEWIN EFERVESCENTE; NOT FOUND; CPR EFE LARA 2 G x 10; S_A
42070; CLAFORAN ; CLAFORAN; NOT FOUND; F.AMP LIOF 1 G 4 ML x 1; S_A
52735; CLEXANE ; CLEXANE; NOT FOUND; SER.DISP.S.C 100 MG 1 ML x 2; S_A
50157; CLEXANE ; CLEXANE; NOT FOUND; SER.DISP.S.C 20 MG 0.20 ML x 10; S_A
50159; CLEXANE ; CLEXANE; NOT FOUND; SER.DISP.S.C 40 MG 0.40 ML x 10; S_A
52733; CLEXANE ; CLEXANE; NOT FOUND; SER.DISP.S.C 60 MG 0.60 ML x 2; S_A
52734; CLEXANE ; CLEXANE; NOT FOUND; SER.DISP.S.C 80 MG 0.80 ML x 2; S_A
63774; CLEXANE ; CLEXANE; NOT FOUND; SER.PRE-ENCH 20 MG 0.20 ML x 2; S_A
63775; CLEXANE ; CLEXANE; NOT FOUND; SER.PRE-ENCH 40 MG 0.40 ML x 2; S_A
78262; CLEXANE ; CLEXANE; NOT FOUND; SER.SAF LOCK 100 MG 1 ML x 2; S_A
78257; CLEXANE ; CLEXANE; NOT FOUND; SER.SAF LOCK 20 MG 0.20 ML x 10; S_A
78256; CLEXANE ; CLEXANE; NOT FOUND; SER.SAF LOCK 20 MG 0.20 ML x 2; S_A
78259; CLEXANE ; CLEXANE; NOT FOUND; SER.SAF LOCK 40 MG 0.40 ML x 10; S_A
78258; CLEXANE ; CLEXANE; NOT FOUND; SER.SAF LOCK 40 MG 0.40 ML x 2; S_A
78260; CLEXANE ; CLEXANE; NOT FOUND; SER.SAF LOCK 60 MG 0.60 ML x 2; S_A
78261; CLEXANE ; CLEXANE; NOT FOUND; SER.SAF LOCK 80 MG 0.80 ML x 2; S_A
73547; CLO PROMETAZINA MG ; CLO PROMETAZINA; CLORIDRATO PROMETAZINA; CPR REVEST 25 MG x 20; S_A
72547; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 14; S_A
72548; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 28; S_A
75406; CLOR.AMIODARONA MG ; CLOR AMIODARONA; CLORIDRATO AMIODARONA; CPR 100 MG x 20; S_A
75407; CLOR.AMIODARONA MG ; CLOR AMIODARONA; CLORIDRATO AMIODARONA; CPR 200 MG x 20; S_A
76499; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; S_A
76498; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 60; S_A
73545; CLOR.METOCLOP.MG ; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; CPR 10 MG x 20; S_A
75012; CLOR.METOCLOP.MG ; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; GOTAS 4 MG 10 ML x 1 (/ML); S_A
56806; CLORANA ; CLORANA; NOT FOUND; CPR 25 MG x 30; S_A
2451; CLORANA ; CLORANA; NOT FOUND; CPR 50 MG x 20; S_A
2624; COLIRIO MOURA BRAS ; COLIRIO MOURA BRAS; NOT FOUND; COLIRIO 20 ML x 1; S_A
2659; COLTRAX ; COLTRAX; NOT FOUND; AMP. 4 MG 2 ML x 3; S_A
2658; COLTRAX ; COLTRAX; NOT FOUND; CPR 4 MG x 12; S_A
54589; COLTRAX ; COLTRAX; NOT FOUND; CPR 4 MG x 20; S_A
2661; COLUBIAZOL ; COLUBIAZOL; NOT FOUND; SPRAY 20 ML x 1; S_A
66490; CONTRATHION ; CONTRATHION; NOT FOUND; F.AMP 200 MG x 10; S_A
2885; CREMEFENERGAN ; CREMEFENERGAN; NOT FOUND; CREME 20 MG 30 G x 1 (/G); S_A
