510900902158317, FANDHI, FANDHI, NOT FOUND, 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900804156417, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML , GFL
510900301154414, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 0.5 G SOL INJ FR 10 ML, GFL
510900302150412, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 10.0 G SOL INJ FR 200 ML, GFL
510900303157410, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 2.5 G SOL INJ FR 50 ML, GFL
510900304153419, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 5.0 G SOL INJ FR 100 ML, GFL
510900902158317, FANDHI, FANDHI, NOT FOUND, 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900903154315, FANDHI, FANDHI, NOT FOUND, 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 15 ML + EQUIPO INFUS, GFL
510900901151319, FANDHI, FANDHI, NOT FOUND, 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900904150313, FANDHI, FANDHI, NOT FOUND, 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUSAO, GFL
510900802153410, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1000 UI PO LIOF INJ CT FA VD INC + DIL X 20 ML , GFL
510900803151411, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1500 UI PO LIOF INJ CT FA VD INC + DIL X 30 ML , GFL
510900801157412, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 250 UI PO LIOF INJ CT FA VD INC + DIL X 5 ML, GFL
510900804156417, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML , GFL
510900301154414, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 0.5 G SOL INJ FR 10 ML, GFL
510900302150412, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 10.0 G SOL INJ FR 200 ML, GFL
510900303157410, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 2.5 G SOL INJ FR 50 ML, GFL
510900304153419, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 5.0 G SOL INJ FR 100 ML, GFL
510900902158317, FANDHI, FANDHI, NOT FOUND, 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900903154315, FANDHI, FANDHI, NOT FOUND, 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 15 ML + EQUIPO INFUS, GFL
510900901151319, FANDHI, FANDHI, NOT FOUND, 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900904150313, FANDHI, FANDHI, NOT FOUND, 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUSAO, GFL
510900802153410, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1000 UI PO LIOF INJ CT FA VD INC + DIL X 20 ML , GFL
510900803151411, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1500 UI PO LIOF INJ CT FA VD INC + DIL X 30 ML , GFL
510900801157412, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 250 UI PO LIOF INJ CT FA VD INC + DIL X 5 ML, GFL
510900804156417, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML , GFL
510900301154414, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 0.5 G SOL INJ FR 10 ML, GFL
510900302150412, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 10.0 G SOL INJ FR 200 ML, GFL
510900303157410, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 2.5 G SOL INJ FR 50 ML, GFL
510900304153419, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 5.0 G SOL INJ FR 100 ML, GFL
510900902158317, FANDHI, FANDHI, NOT FOUND, 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900903154315, FANDHI, FANDHI, NOT FOUND, 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 15 ML + EQUIPO INFUS, GFL
510900901151319, FANDHI, FANDHI, NOT FOUND, 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900904150313, FANDHI, FANDHI, NOT FOUND, 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUSAO, GFL
510900802153410, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1000 UI PO LIOF INJ CT FA VD INC + DIL X 20 ML , GFL
510900803151411, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1500 UI PO LIOF INJ CT FA VD INC + DIL X 30 ML , GFL
510900801157412, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 250 UI PO LIOF INJ CT FA VD INC + DIL X 5 ML, GFL
510900804156417, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML , GFL
510900301154414, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 0.5 G SOL INJ FR 10 ML, GFL
510900302150412, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 10.0 G SOL INJ FR 200 ML, GFL
510900303157410, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 2.5 G SOL INJ FR 50 ML, GFL
510900304153419, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 5.0 G SOL INJ FR 100 ML, GFL
510900902158317, FANDHI, FANDHI, NOT FOUND, 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900903154315, FANDHI, FANDHI, NOT FOUND, 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 15 ML + EQUIPO INFUS, GFL
510900901151319, FANDHI, FANDHI, NOT FOUND, 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900904150313, FANDHI, FANDHI, NOT FOUND, 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUSAO, GFL
510900802153410, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1000 UI PO LIOF INJ CT FA VD INC + DIL X 20 ML , GFL
510900803151411, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1500 UI PO LIOF INJ CT FA VD INC + DIL X 30 ML , GFL
510900801157412, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 250 UI PO LIOF INJ CT FA VD INC + DIL X 5 ML, GFL
510900804156417, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML , GFL
510900301154414, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 0.5 G SOL INJ FR 10 ML, GFL
510900302150412, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 10.0 G SOL INJ FR 200 ML, GFL
510900303157410, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 2.5 G SOL INJ FR 50 ML, GFL
510900304153419, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 5.0 G SOL INJ FR 100 ML, GFL
510900902158317, FANDHI, FANDHI, NOT FOUND, 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900903154315, FANDHI, FANDHI, NOT FOUND, 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 15 ML + EQUIPO INFUS, GFL
510900901151319, FANDHI, FANDHI, NOT FOUND, 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900904150313, FANDHI, FANDHI, NOT FOUND, 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUSAO, GFL
510900802153410, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1000 UI PO LIOF INJ CT FA VD INC + DIL X 20 ML , GFL
510900803151411, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1500 UI PO LIOF INJ CT FA VD INC + DIL X 30 ML , GFL
510900801157412, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 250 UI PO LIOF INJ CT FA VD INC + DIL X 5 ML, GFL
510900804156417, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML , GFL
510900301154414, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 0.5 G SOL INJ FR 10 ML, GFL
510900302150412, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 10.0 G SOL INJ FR 200 ML, GFL
510900303157410, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 2.5 G SOL INJ FR 50 ML, GFL
510900304153419, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 5.0 G SOL INJ FR 100 ML, GFL
510900902158317, FANDHI, FANDHI, NOT FOUND, 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900903154315, FANDHI, FANDHI, NOT FOUND, 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 15 ML + EQUIPO INFUS, GFL
510900901151319, FANDHI, FANDHI, NOT FOUND, 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900904150313, FANDHI, FANDHI, NOT FOUND, 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUSAO, GFL
510900802153410, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1000 UI PO LIOF INJ CT FA VD INC + DIL X 20 ML , GFL
510900803151411, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1500 UI PO LIOF INJ CT FA VD INC + DIL X 30 ML , GFL
510900801157412, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 250 UI PO LIOF INJ CT FA VD INC + DIL X 5 ML, GFL
510900804156417, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML , GFL
510900301154414, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 0.5 G SOL INJ FR 10 ML, GFL
510900302150412, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 10.0 G SOL INJ FR 200 ML, GFL
510900303157410, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 2.5 G SOL INJ FR 50 ML, GFL
510900304153419, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 5.0 G SOL INJ FR 100 ML, GFL
510900802153410, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1000 UI PO LIOF INJ CT FA VD INC + DIL X 20 ML , GFL
510900803151411, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1500 UI PO LIOF INJ CT FA VD INC + DIL X 30 ML , GFL
510900801157412, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 250 UI PO LIOF INJ CT FA VD INC + DIL X 5 ML, GFL
510900804156417, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML , GFL
510900902158317, FANDHI, FANDHI, NOT FOUND, 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900903154315, FANDHI, FANDHI, NOT FOUND, 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 15 ML + EQUIPO INFUS, GFL
510900901151319, FANDHI, FANDHI, NOT FOUND, 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900904150313, FANDHI, FANDHI, NOT FOUND, 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUSAO, GFL
510900301154414, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 0.5 G SOL INJ FR 10 ML, GFL
510900302150412, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 10.0 G SOL INJ FR 200 ML, GFL
510900303157410, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 2.5 G SOL INJ FR 50 ML, GFL
510900304153419, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 5.0 G SOL INJ FR 100 ML, GFL
510900802153410, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1000 UI PO LIOF INJ CT FA VD INC + DIL X 20 ML , GFL
510900803151411, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 1500 UI PO LIOF INJ CT FA VD INC + DIL X 30 ML , GFL
510900801157412, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 250 UI PO LIOF INJ CT FA VD INC + DIL X 5 ML, GFL
510900804156417, FATOR IX, FATOR IX, FATOR IX COAGULACAO, 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML , GFL
510900902158317, FANDHI, FANDHI, NOT FOUND, 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900903154315, FANDHI, FANDHI, NOT FOUND, 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 15 ML + EQUIPO INFUS, GFL
510900901151319, FANDHI, FANDHI, NOT FOUND, 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS, GFL
510900904150313, FANDHI, FANDHI, NOT FOUND, 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUSAO, GFL
510900301154414, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 0.5 G SOL INJ FR 10 ML, GFL
510900302150412, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 10.0 G SOL INJ FR 200 ML, GFL
510900303157410, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 2.5 G SOL INJ FR 50 ML, GFL
510900304153419, FLEBOGAMMA, FLEBOGAMMA, NOT FOUND, 5.0 G SOL INJ FR 100 ML, GFL
