1108500070048; CLORETO DE SÓDIO + CLORETO DE CÁLCIO + ASSOCIAÇÕES FARMACE; CLORETO SODIO CLORETO CALCIO ASSOCIACOES FARMACE; NOT FOUND; NA 138.0 + K 2.0 MEQ SOL HD ACD GAL PLAS INC X 5000 ML + 8.4% SOL BIC GAL X 5000 ML; FM_
1108500010193; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML; FM_
1108500010185; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML; FM_
1108500010207; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 50 FR PLAS TRANS PE SIST FECH X 250 ML; FM_
1108500010215; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 60 FR PLAS TRANS PE SIST FECH X 100 ML; FM_
1108500010053; CLORETO DE SODIO; CLORETO SODIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML; FM_
1108500390018; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CT FR PLAS AMB X 100ML + CP MED; FM_
1108500390115; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3MG/ML XPE CX 60 FR PLAS AMB X 120ML +60 CP MED (EMB HOSP); FM_
1108500390069; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CX 100 FR PLAS AMB X 120ML + 100 CP MED (EMB HOSP); FM_
1108500390050; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CX 60 FR PLAS AMB X 120 ML +60 CP MED (EMB HOSP); FM_
1108500390042; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CT FR PLAS AMB X 120ML + CP MED; FM_
1108500390034; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CX 100 FR PLAS AMB X 100ML + 100 CP MED (EMB HOSP); FM_
1108500390026; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML XPE CX 60 FR PLAS AMB X 100ML + 60 CP MED (EMB HOSP); FM_
1108500390123; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3MG/ML XPE CX 100 FR PLAS AMB X 120ML + 100 CP MED (EMB HOSP); FM_
1108500390107; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3MG/ML XPE CT FR PLAS AMB X 120ML + CP MED; FM_
1108500390093; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3MG/ML XPE CX 100 FR PLAS AMB X 100ML + 100 CP MED (EMB HOSP); FM_
1108500390085; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3MG/ML XPE CX 60 FR PLAS AMB X 100ML + 60 CP MED (EMB HOSP; FM_
1108500390077; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3MG/ML XPE CT FR PLAS AMB X 100ML + CP MED; FM_
1108500390158; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PLAS AMB X 100 ML + 50 COP (EMB HOSP); FM_
1108500390131; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PLAS AMB X 100 ML + 50 COP (EMB HOSP); FM_
1108500390141; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 COP (EMB HOSP); FM_
1108500390166; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 COP (EMB HOSP); FM_
1108500290021; COMPLEXO B; COMPLEXO B; NOT FOUND; 0.008 G+0.002 G+0.004 G+0.04 G+0.006 G 2 ML SOL INJ CX 100 AMP VD AMB X 2 ML; FM_
1108500290013; COMPLEXO B; COMPLEXO B; NOT FOUND; 0.008 G+0.002 G+0.004 G+0.04 G+0.006 G 2 ML SOL INJ CX 50 AMP VD AMB X 2 ML; FM_
1108500250038; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); FM_
1108500250011; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 5 AMP VD AMB X 2 ML ; FM_
1108500250021; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); FM_
1108500060018; CHD C/ACETATO - SÓDIO 136; CHD C ACETATO SODIO 136; NOT FOUND; BOMBONA PLASTICA 3430 ML; FM_
1108500070021; CHD C/BICARB.- SÓDIO 136; CHD C BICARB SODIO 136; NOT FOUND; BOMBONA PLASTICA 3430 ML; FM_
1108500070013; CHD C/BICARB.- SÓDIO 140; CHD C BICARB SODIO 140; NOT FOUND; BOMBONA PLASTICA 3430 ML; FM_
